Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X,Body Vel Y,Body Vel Z
1,-0.001,0.001,-0.001,-0.001,0.002,-0.002,0,0.002,-0.002,0,0.002,-0.001,0,0,0
1.01,0,0.001,0,0,0,-0.001,0.001,0.001,-0.001,0.001,0,0,0,0,0
1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03,-0.001,-0.001,0.001,-0.001,0,0,-0.001,-0.001,0.001,-0.001,0,0,0,0,0
1.04,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,0,0
1.05,0.001,-0.001,0.001,0.001,-0.002,0.002,0.001,-0.001,0.001,0.001,-0.002,0.002,0,0,0
1.06,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,0,0
1.07,-0.001,-0.002,0.002,-0.001,-0.001,0.001,-0.001,-0.002,0.002,-0.001,-0.001,0.001,0,0,0
1.08,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,0,0
1.09,0.001,-0.001,0,0.001,-0.001,0.001,0.001,-0.001,0,0.001,-0.001,0.001,0,0,0
1.1,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,-0.001,0.001,0,0,0
1.11,-0.001,-0.001,0.001,-0.001,0,0,0,-0.001,0,0,0,0,0,0,0
1.12,0,0,0,0,0,0,0.001,0,0,0.001,0,0.001,0,0,0
1.13,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0
1.14,-0.001,0,0,-0.001,0.001,-0.001,0,0,0,0,0,0,0,0,0
1.15,-0.001,0,0,-0.001,0.001,-0.001,0,0,0,0,0.001,-0.001,0,0,0
1.16,0,0.001,-0.001,0,0,0,0.001,0.001,-0.001,0.001,0,0,0,0,0
1.17,0.001,0.001,-0.001,0.001,0,0,0.001,0.001,-0.001,0.001,0,0,0,0,0
1.18,0,0,0,0,0.001,0,0,0,0,0,0.001,-0.001,0,0,0
1.19,-0.001,0,0,-0.001,0.001,-0.001,-0.002,0,0,-0.001,0.001,-0.001,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0
1.21,0.001,0.001,-0.001,0.001,0,0,0.001,0.001,0,0.001,0,0,0,0,0
1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23,-0.001,0,0,-0.001,0,0,-0.001,0,0,-0.001,0,0,0,0,0
1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26,-0.001,0,0,-0.001,0,0,-0.001,-0.001,0,-0.001,0,0,0,0,0
1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29,-0.001,0,0,-0.001,0,0,-0.001,-0.001,0,-0.001,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32,-0.001,0,0,-0.001,0,0,-0.001,0,0,-0.001,0,0,0,0,0
1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35,-0.001,0,0,-0.001,0,0,-0.001,0,0,-0.001,0,0,0,0,0
1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38,-0.001,0,0,-0.001,0,0,-0.001,0,0,-0.001,0,0,0,0,0
1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,0.001,0,0,0.001,0,0,0.001,0,-0.001,0.001,0,0.001,0,0,0
1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42,0,0,0,0,0,0,-0.001,0,0,-0.001,0,0,0,0,0
1.43,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
1.44,0.001,0,0,0.001,0,0,0.001,0,0,0.001,0,0.001,0,0,0
1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46,-0.001,-0.001,0.001,-0.001,0,0,-0.001,-0.001,0.001,-0.001,0,0,0,0,0
1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.48,0.001,0,0,0.001,0,0,0.001,0,0,0.001,0,0,0,0,0
1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,-0.001,0,0,0,0,0,-0.001,0,0.001,-0.001,0,0,0,0,0
1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
