Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X R1,Body Vel Y R1,Body Vel Z R1,Body Vel X R2,Body Vel Y R2,Body Vel Z R2,Body Vel X L1,Body Vel Y L1,Body Vel Z L1,Body Vel X L2,Body Vel Y L2,Body Vel Z L2
1,-0.221,-0.094,0.098,-0.13,-0.154,0.054,-0.046,0.019,-0.043,-0.1,0.129,-0.025,0.041,0.014,0.043,0.041,-0.01,-0.001,0.022,0.014,0.017,0.022,-0.01,-0.026
1.01,-0.626,-0.238,0.265,-0.383,-0.416,0.14,-0.139,0.026,-0.106,-0.273,0.342,-0.05,0.088,0.029,0.087,0.088,-0.024,-0.005,0.047,0.029,0.042,0.047,-0.024,-0.05
1.02,-0.869,-0.209,0.312,-0.611,-0.491,0.133,-0.24,-0.087,-0.082,-0.339,0.375,0.014,0.122,0.038,0.107,0.122,-0.038,-0.016,0.063,0.037,0.067,0.064,-0.038,-0.056
1.03,-1.007,-0.128,0.31,-0.781,-0.498,0.1,-0.313,-0.208,-0.038,-0.351,0.349,0.095,0.143,0.043,0.117,0.144,-0.049,-0.025,0.073,0.042,0.085,0.074,-0.049,-0.057
1.04,-1.083,-0.071,0.308,-0.881,-0.511,0.083,-0.343,-0.273,-0.014,-0.345,0.338,0.151,0.155,0.046,0.121,0.157,-0.056,-0.028,0.076,0.045,0.092,0.079,-0.057,-0.056
1.05,-1.11,-0.034,0.304,-0.924,-0.525,0.078,-0.341,-0.295,-0.006,-0.327,0.337,0.185,0.159,0.046,0.12,0.162,-0.061,-0.027,0.076,0.046,0.093,0.079,-0.062,-0.054
1.06,-1.095,-0.003,0.291,-0.929,-0.526,0.072,-0.321,-0.297,-0.001,-0.299,0.331,0.209,0.157,0.046,0.116,0.16,-0.064,-0.025,0.073,0.044,0.09,0.076,-0.065,-0.052
1.07,-1.048,0.024,0.268,-0.905,-0.513,0.064,-0.29,-0.287,0.002,-0.263,0.318,0.225,0.15,0.043,0.108,0.154,-0.065,-0.023,0.067,0.042,0.083,0.071,-0.067,-0.048
1.08,-0.98,0.046,0.241,-0.859,-0.491,0.055,-0.253,-0.267,0.004,-0.225,0.303,0.232,0.141,0.039,0.099,0.145,-0.065,-0.02,0.061,0.038,0.075,0.065,-0.066,-0.044
1.09,-0.898,0.06,0.211,-0.797,-0.463,0.044,-0.213,-0.239,0.005,-0.188,0.286,0.232,0.129,0.035,0.088,0.134,-0.064,-0.017,0.054,0.034,0.066,0.058,-0.065,-0.04
1.1,-0.809,0.067,0.179,-0.726,-0.431,0.033,-0.172,-0.208,0.005,-0.154,0.268,0.226,0.117,0.03,0.078,0.121,-0.061,-0.014,0.047,0.029,0.056,0.051,-0.063,-0.036
