Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X R1,Body Vel Y R1,Body Vel Z R1,Body Vel X R2,Body Vel Y R2,Body Vel Z R2,Body Vel X L1,Body Vel Y L1,Body Vel Z L1,Body Vel X L2,Body Vel Y L2,Body Vel Z L2
1,-0.758,-0.326,0.446,-0.615,-0.356,0.505,0.758,0.266,-0.449,0.615,0.323,-0.567,-0.036,-0.102,0.131,-0.036,-0.041,0.127,0.014,-0.103,-0.135,0.014,-0.042,-0.139
1.01,-1.852,-0.696,0.988,-1.47,-0.799,1.196,1.842,0.654,-0.983,1.489,0.775,-1.232,-0.048,-0.182,0.188,-0.047,-0.085,0.182,0.032,-0.187,-0.188,0.032,-0.09,-0.193
1.02,-1.722,-0.178,0.057,-0.999,-0.367,0.449,1.293,0.266,-0.202,1.028,0.384,-0.448,-0.032,-0.184,0.08,-0.032,-0.114,0.07,0.023,-0.187,-0.065,0.024,-0.118,-0.075
1.03,-1.009,0.102,-0.507,-0.467,-0.038,-0.215,0.698,-0.07,0.45,0.477,0.024,0.251,-0.033,-0.189,0.004,-0.033,-0.118,0.002,0.023,-0.19,0.002,0.023,-0.118,0
1.04,-0.891,-0.083,-0.294,-0.552,-0.181,-0.094,0.902,0.012,0.403,0.562,0.128,0.158,-0.047,-0.228,0.03,-0.046,-0.119,0.031,0.038,-0.23,-0.031,0.039,-0.121,-0.03
1.05,-1.207,-0.191,-0.174,-0.748,-0.319,0.084,1.229,0.17,0.268,0.767,0.333,-0.073,-0.054,-0.256,0.038,-0.052,-0.12,0.039,0.053,-0.26,-0.048,0.054,-0.124,-0.047
1.06,-1.032,-0.08,-0.433,-0.537,-0.222,-0.145,1.035,0.089,0.503,0.543,0.262,0.142,-0.053,-0.258,-0.004,-0.051,-0.115,0.001,0.058,-0.26,-0.011,0.06,-0.117,-0.006
1.07,-0.879,-0.006,-0.638,-0.344,-0.171,-0.301,0.857,0.018,0.694,0.335,0.192,0.332,-0.056,-0.262,-0.026,-0.053,-0.106,-0.016,0.065,-0.263,0.006,0.067,-0.107,0.016
1.08,-0.946,-0.052,-0.625,-0.337,-0.246,-0.229,0.914,0.071,0.677,0.323,0.26,0.281,-0.062,-0.269,-0.024,-0.058,-0.094,-0.009,0.074,-0.272,-0.003,0.078,-0.096,0.012
1.09,-0.964,-0.077,-0.629,-0.295,-0.292,-0.191,0.919,0.111,0.674,0.276,0.315,0.247,-0.065,-0.268,-0.031,-0.06,-0.08,-0.013,0.082,-0.271,-0.002,0.086,-0.082,0.017
1.1,-0.88,-0.057,-0.7,-0.178,-0.286,-0.232,0.814,0.103,0.732,0.147,0.311,0.297,-0.065,-0.26,-0.045,-0.06,-0.064,-0.023,0.086,-0.263,0.008,0.092,-0.068,0.03
1.11,-0.827,-0.057,-0.725,-0.095,-0.299,-0.23,0.743,0.113,0.746,0.056,0.322,0.305,-0.066,-0.251,-0.051,-0.059,-0.049,-0.025,0.09,-0.255,0.009,0.097,-0.053,0.034
1.12,-0.811,-0.075,-0.703,-0.054,-0.329,-0.185,0.715,0.144,0.711,0.01,0.354,0.267,-0.066,-0.241,-0.052,-0.058,-0.035,-0.024,0.094,-0.246,0.006,0.101,-0.04,0.034
1.13,-0.769,-0.082,-0.688,-0.003,-0.343,-0.157,0.662,0.161,0.682,-0.045,0.367,0.247,-0.064,-0.228,-0.056,-0.056,-0.022,-0.024,0.095,-0.234,0.006,0.104,-0.027,0.037
1.14,-0.709,-0.079,-0.678,0.052,-0.342,-0.141,0.591,0.168,0.658,-0.105,0.363,0.241,-0.062,-0.213,-0.058,-0.052,-0.01,-0.025,0.095,-0.219,0.006,0.105,-0.016,0.04
1.15,-0.659,-0.079,-0.651,0.088,-0.342,-0.114,0.534,0.178,0.615,-0.143,0.362,0.222,-0.058,-0.197,-0.058,-0.048,0,-0.023,0.094,-0.204,0.004,0.104,-0.007,0.04
1.16,-0.612,-0.08,-0.611,0.11,-0.338,-0.083,0.485,0.189,0.561,-0.165,0.358,0.196,-0.054,-0.18,-0.057,-0.043,0.008,-0.021,0.092,-0.188,0.002,0.103,0.001,0.039
1.17,-0.557,-0.074,-0.572,0.13,-0.326,-0.059,0.43,0.192,0.51,-0.184,0.343,0.179,-0.048,-0.163,-0.055,-0.038,0.015,-0.018,0.089,-0.17,0.001,0.1,0.007,0.038
1.18,-0.5,-0.066,-0.53,0.143,-0.306,-0.038,0.375,0.19,0.457,-0.196,0.323,0.164,-0.042,-0.145,-0.052,-0.032,0.019,-0.016,0.085,-0.153,0,0.095,0.012,0.037
1.19,-0.444,-0.057,-0.481,0.147,-0.284,-0.017,0.325,0.188,0.4,-0.197,0.301,0.147,-0.036,-0.128,-0.048,-0.026,0.022,-0.013,0.08,-0.135,-0.001,0.09,0.015,0.035
1.2,-0.389,-0.047,-0.43,0.145,-0.257,0.003,0.279,0.182,0.344,-0.191,0.276,0.131,-0.029,-0.11,-0.044,-0.02,0.024,-0.01,0.075,-0.117,-0.002,0.084,0.017,0.032
1.21,-0.333,-0.035,-0.377,0.139,-0.227,0.019,0.233,0.173,0.289,-0.181,0.248,0.117,-0.022,-0.093,-0.039,-0.014,0.024,-0.006,0.069,-0.1,-0.002,0.077,0.017,0.03
1.22,-0.278,-0.022,-0.323,0.13,-0.194,0.033,0.19,0.162,0.236,-0.166,0.217,0.105,-0.015,-0.077,-0.033,-0.008,0.023,-0.003,0.062,-0.082,-0.002,0.07,0.017,0.027
1.23,-0.224,-0.009,-0.269,0.116,-0.161,0.045,0.15,0.149,0.186,-0.147,0.187,0.093,-0.009,-0.061,-0.027,-0.002,0.021,0,0.055,-0.066,-0.002,0.062,0.017,0.024
1.24,-0.172,0.004,-0.214,0.101,-0.126,0.055,0.113,0.135,0.137,-0.126,0.156,0.082,-0.002,-0.046,-0.021,0.003,0.019,0.003,0.049,-0.05,-0.002,0.054,0.015,0.022
1.25,-0.122,0.016,-0.161,0.085,-0.092,0.063,0.078,0.12,0.093,-0.103,0.125,0.071,0.004,-0.032,-0.015,0.008,0.017,0.005,0.042,-0.035,-0.002,0.046,0.014,0.019
1.26,-0.075,0.027,-0.11,0.068,-0.058,0.069,0.046,0.104,0.051,-0.08,0.095,0.061,0.01,-0.018,-0.009,0.013,0.014,0.008,0.035,-0.02,-0.001,0.038,0.012,0.016
1.27,-0.031,0.038,-0.061,0.05,-0.026,0.074,0.016,0.088,0.013,-0.057,0.067,0.051,0.015,-0.006,-0.004,0.017,0.011,0.01,0.028,-0.007,-0.001,0.03,0.01,0.013
1.28,0.009,0.047,-0.014,0.034,0.004,0.078,-0.011,0.072,-0.022,-0.035,0.04,0.042,0.02,0.005,0.002,0.02,0.008,0.012,0.022,0.005,0,0.022,0.008,0.01
1.29,0.046,0.055,0.028,0.018,0.031,0.08,-0.036,0.057,-0.054,-0.014,0.015,0.033,0.024,0.016,0.006,0.023,0.005,0.014,0.016,0.016,0,0.015,0.006,0.008
1.3,0.08,0.061,0.067,0.003,0.056,0.081,-0.058,0.042,-0.082,0.006,-0.007,0.024,0.027,0.025,0.011,0.026,0.002,0.015,0.01,0.026,0.001,0.008,0.004,0.005
1.31,0.109,0.066,0.102,-0.01,0.078,0.082,-0.077,0.028,-0.106,0.023,-0.028,0.015,0.03,0.033,0.015,0.027,0,0.016,0.005,0.035,0.001,0.002,0.002,0.003
1.32,0.135,0.07,0.133,-0.022,0.097,0.081,-0.095,0.015,-0.128,0.038,-0.046,0.007,0.032,0.04,0.018,0.029,-0.002,0.017,0,0.043,0.002,-0.004,0.001,0.001
1.33,0.156,0.072,0.159,-0.032,0.112,0.079,-0.109,0.003,-0.146,0.051,-0.062,-0.001,0.034,0.046,0.02,0.03,-0.003,0.017,-0.005,0.049,0.002,-0.009,-0.001,-0.001
1.34,0.173,0.072,0.18,-0.041,0.124,0.077,-0.122,-0.007,-0.161,0.062,-0.076,-0.009,0.034,0.051,0.022,0.03,-0.005,0.017,-0.009,0.055,0.002,-0.014,-0.002,-0.003
1.35,0.187,0.071,0.198,-0.048,0.133,0.074,-0.132,-0.017,-0.174,0.07,-0.087,-0.017,0.035,0.055,0.024,0.03,-0.006,0.017,-0.013,0.059,0.002,-0.018,-0.002,-0.005
1.36,0.197,0.07,0.21,-0.053,0.139,0.07,-0.139,-0.025,-0.183,0.077,-0.096,-0.024,0.034,0.058,0.025,0.029,-0.007,0.017,-0.016,0.062,0.002,-0.021,-0.003,-0.006
1.37,0.204,0.066,0.219,-0.057,0.143,0.066,-0.145,-0.032,-0.19,0.081,-0.103,-0.03,0.033,0.06,0.025,0.028,-0.007,0.016,-0.019,0.064,0.002,-0.024,-0.003,-0.008
1.38,0.207,0.062,0.224,-0.059,0.143,0.062,-0.148,-0.038,-0.194,0.083,-0.109,-0.036,0.032,0.061,0.025,0.027,-0.007,0.015,-0.021,0.065,0.001,-0.026,-0.004,-0.009
1.39,0.207,0.058,0.225,-0.06,0.141,0.057,-0.149,-0.043,-0.195,0.084,-0.112,-0.041,0.03,0.062,0.025,0.025,-0.007,0.014,-0.023,0.065,0.001,-0.028,-0.004,-0.01
1.4,0.205,0.052,0.224,-0.06,0.138,0.051,-0.149,-0.047,-0.194,0.084,-0.113,-0.046,0.028,0.061,0.024,0.023,-0.007,0.013,-0.025,0.065,0.001,-0.03,-0.004,-0.011
1.41,0.2,0.046,0.218,-0.059,0.132,0.046,-0.146,-0.05,-0.191,0.082,-0.113,-0.05,0.026,0.06,0.023,0.021,-0.007,0.012,-0.026,0.063,0,-0.031,-0.004,-0.011
1.42,0.193,0.04,0.211,-0.057,0.125,0.04,-0.142,-0.053,-0.185,0.078,-0.112,-0.053,0.023,0.058,0.022,0.019,-0.006,0.01,-0.027,0.061,0,-0.031,-0.003,-0.012
1.43,0.184,0.034,0.201,-0.054,0.116,0.034,-0.136,-0.054,-0.178,0.074,-0.109,-0.056,0.02,0.055,0.02,0.016,-0.006,0.009,-0.027,0.058,-0.001,-0.031,-0.003,-0.012
1.44,0.173,0.027,0.189,-0.051,0.107,0.028,-0.129,-0.055,-0.17,0.07,-0.105,-0.058,0.017,0.052,0.019,0.014,-0.005,0.007,-0.027,0.055,-0.001,-0.031,-0.003,-0.012
1.45,0.161,0.02,0.176,-0.047,0.096,0.021,-0.121,-0.055,-0.159,0.064,-0.1,-0.059,0.014,0.049,0.017,0.011,-0.005,0.006,-0.027,0.051,-0.001,-0.03,-0.002,-0.012
1.46,0.148,0.013,0.161,-0.043,0.085,0.015,-0.112,-0.055,-0.148,0.059,-0.094,-0.06,0.011,0.045,0.015,0.008,-0.004,0.004,-0.027,0.047,-0.002,-0.03,-0.002,-0.012
1.47,0.134,0.007,0.146,-0.039,0.074,0.009,-0.102,-0.054,-0.135,0.053,-0.088,-0.06,0.008,0.041,0.013,0.006,-0.004,0.003,-0.026,0.042,-0.002,-0.029,-0.002,-0.012
1.48,0.119,0,0.13,-0.034,0.062,0.003,-0.091,-0.053,-0.122,0.047,-0.081,-0.059,0.005,0.036,0.011,0.003,-0.003,0.002,-0.025,0.038,-0.002,-0.027,-0.001,-0.012
1.49,0.104,-0.006,0.113,-0.03,0.051,-0.003,-0.081,-0.051,-0.108,0.04,-0.074,-0.058,0.002,0.032,0.009,0,-0.002,0,-0.024,0.033,-0.002,-0.026,-0.001,-0.011
1.5,0.089,-0.012,0.097,-0.025,0.04,-0.008,-0.069,-0.049,-0.094,0.034,-0.066,-0.057,0,0.027,0.007,-0.002,-0.002,-0.001,-0.023,0.028,-0.002,-0.025,-0.001,-0.011
1.51,0.074,-0.017,0.08,-0.021,0.029,-0.014,-0.058,-0.047,-0.079,0.028,-0.058,-0.055,-0.003,0.023,0.006,-0.004,-0.001,-0.002,-0.022,0.024,-0.002,-0.023,0,-0.01
