Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X,Body Vel Y,Body Vel Z
1,0.035,0.538,-0.34,0.034,0.425,-0.239,0.048,-0.209,0.064,0.048,-0.327,0.165,-0.004,-0.006,-0.031
1.01,0.092,1.268,-0.811,0.09,0.941,-0.522,0.117,-0.363,0.057,0.117,-0.693,0.339,-0.003,-0.003,-0.06
1.02,0.112,0.802,-0.538,0.109,0.373,-0.162,0.109,0.329,-0.408,0.109,-0.101,-0.046,0.004,0.014,-0.067
1.03,0.09,0.844,-0.542,0.087,0.373,-0.131,0.086,0.324,-0.433,0.085,-0.147,-0.039,0.015,0.014,-0.065
1.04,0.054,1.209,-0.723,0.052,0.718,-0.302,0.062,-0.064,-0.219,0.062,-0.556,0.192,0.025,0.014,-0.061
1.05,0.034,0.917,-0.529,0.032,0.415,-0.101,0.03,0.202,-0.393,0.03,-0.301,0.023,0.033,0.025,-0.058
1.06,0.012,0.782,-0.43,0.012,0.273,0.001,0.004,0.308,-0.47,0.005,-0.201,-0.05,0.04,0.028,-0.054
1.07,-0.012,1.012,-0.537,-0.012,0.5,-0.11,-0.013,0.041,-0.319,-0.011,-0.472,0.104,0.046,0.027,-0.05
1.08,-0.028,0.902,-0.454,-0.027,0.39,-0.031,-0.032,0.12,-0.376,-0.029,-0.393,0.047,0.05,0.033,-0.048
1.09,-0.04,0.744,-0.349,-0.038,0.235,0.071,-0.047,0.249,-0.461,-0.045,-0.262,-0.041,0.054,0.037,-0.045
1.1,-0.055,0.856,-0.394,-0.052,0.353,0.016,-0.059,0.099,-0.375,-0.055,-0.407,0.042,0.057,0.036,-0.042
1.11,-0.065,0.836,-0.367,-0.062,0.339,0.033,-0.069,0.087,-0.371,-0.065,-0.413,0.041,0.059,0.039,-0.04
1.12,-0.072,0.707,-0.283,-0.069,0.218,0.109,-0.078,0.187,-0.434,-0.074,-0.305,-0.03,0.061,0.042,-0.039
1.13,-0.08,0.739,-0.288,-0.076,0.26,0.092,-0.085,0.12,-0.395,-0.08,-0.362,0.003,0.062,0.041,-0.036
1.14,-0.086,0.749,-0.282,-0.082,0.282,0.085,-0.091,0.076,-0.369,-0.085,-0.396,0.022,0.062,0.042,-0.035
1.15,-0.09,0.661,-0.224,-0.085,0.205,0.132,-0.095,0.136,-0.404,-0.089,-0.325,-0.024,0.062,0.044,-0.033
1.16,-0.094,0.649,-0.209,-0.088,0.206,0.134,-0.099,0.116,-0.391,-0.092,-0.333,-0.02,0.062,0.044,-0.032
1.17,-0.097,0.661,-0.207,-0.091,0.231,0.122,-0.101,0.072,-0.362,-0.095,-0.364,0,0.062,0.044,-0.03
1.18,-0.099,0.607,-0.171,-0.092,0.189,0.146,-0.102,0.099,-0.376,-0.096,-0.325,-0.024,0.061,0.045,-0.029
1.19,-0.1,0.577,-0.15,-0.093,0.174,0.155,-0.103,0.1,-0.374,-0.096,-0.311,-0.031,0.06,0.045,-0.028
1.2,-0.101,0.58,-0.146,-0.094,0.191,0.146,-0.104,0.067,-0.35,-0.096,-0.33,-0.018,0.059,0.045,-0.027
1.21,-0.101,0.548,-0.124,-0.094,0.172,0.155,-0.103,0.074,-0.35,-0.096,-0.311,-0.028,0.058,0.045,-0.026
1.22,-0.1,0.516,-0.104,-0.093,0.153,0.163,-0.102,0.08,-0.35,-0.095,-0.291,-0.038,0.057,0.045,-0.025
1.23,-0.1,0.51,-0.097,-0.093,0.16,0.158,-0.101,0.06,-0.333,-0.094,-0.298,-0.031,0.055,0.045,-0.024
1.24,-0.099,0.489,-0.084,-0.091,0.153,0.159,-0.1,0.056,-0.326,-0.092,-0.289,-0.034,0.054,0.045,-0.023
1.25,-0.098,0.461,-0.068,-0.09,0.138,0.165,-0.098,0.061,-0.324,-0.091,-0.271,-0.042,0.053,0.044,-0.022
1.26,-0.096,0.449,-0.06,-0.089,0.139,0.161,-0.096,0.051,-0.312,-0.089,-0.269,-0.04,0.051,0.044,-0.021
1.27,-0.094,0.434,-0.051,-0.087,0.136,0.159,-0.094,0.043,-0.302,-0.087,-0.264,-0.04,0.049,0.043,-0.021
1.28,-0.093,0.411,-0.038,-0.085,0.126,0.161,-0.092,0.046,-0.299,-0.084,-0.25,-0.045,0.048,0.043,-0.02
1.29,-0.091,0.396,-0.03,-0.083,0.123,0.159,-0.09,0.04,-0.29,-0.082,-0.244,-0.045,0.046,0.042,-0.019
1.3,-0.089,0.383,-0.024,-0.082,0.122,0.156,-0.087,0.033,-0.28,-0.08,-0.239,-0.044,0.045,0.041,-0.018
1.31,-0.087,0.365,-0.015,-0.08,0.115,0.156,-0.085,0.033,-0.274,-0.077,-0.229,-0.047,0.043,0.041,-0.018
1.32,-0.084,0.35,-0.008,-0.077,0.11,0.154,-0.082,0.03,-0.267,-0.075,-0.221,-0.049,0.042,0.04,-0.017
1.33,-0.082,0.338,-0.003,-0.075,0.109,0.151,-0.079,0.024,-0.258,-0.072,-0.216,-0.048,0.04,0.039,-0.017
1.34,-0.08,0.323,0.003,-0.073,0.105,0.149,-0.077,0.022,-0.251,-0.07,-0.208,-0.049,0.039,0.039,-0.016
1.35,-0.078,0.309,0.009,-0.071,0.1,0.147,-0.074,0.021,-0.244,-0.067,-0.2,-0.05,0.037,0.038,-0.015
1.36,-0.076,0.298,0.013,-0.069,0.098,0.143,-0.072,0.016,-0.236,-0.065,-0.195,-0.05,0.036,0.037,-0.015
1.37,-0.073,0.286,0.017,-0.067,0.095,0.141,-0.069,0.014,-0.229,-0.063,-0.188,-0.05,0.035,0.036,-0.014
1.38,-0.071,0.274,0.022,-0.065,0.092,0.139,-0.067,0.013,-0.223,-0.06,-0.181,-0.051,0.033,0.036,-0.014
1.39,-0.069,0.263,0.025,-0.063,0.089,0.135,-0.064,0.01,-0.216,-0.058,-0.175,-0.051,0.032,0.035,-0.013
1.4,-0.067,0.253,0.028,-0.061,0.087,0.132,-0.062,0.008,-0.209,-0.056,-0.169,-0.05,0.031,0.034,-0.013
1.41,-0.065,0.242,0.031,-0.059,0.084,0.13,-0.059,0.006,-0.203,-0.053,-0.163,-0.051,0.029,0.033,-0.012
1.42,-0.062,0.232,0.034,-0.057,0.082,0.127,-0.057,0.004,-0.197,-0.051,-0.158,-0.05,0.028,0.033,-0.012
1.43,-0.06,0.223,0.036,-0.055,0.079,0.124,-0.055,0.002,-0.19,-0.049,-0.152,-0.05,0.027,0.032,-0.012
1.44,-0.058,0.214,0.038,-0.053,0.077,0.121,-0.052,0.001,-0.185,-0.047,-0.147,-0.05,0.026,0.031,-0.011
1.45,-0.056,0.205,0.04,-0.052,0.075,0.118,-0.05,-0.001,-0.179,-0.045,-0.142,-0.05,0.025,0.03,-0.011
1.46,-0.054,0.197,0.041,-0.05,0.073,0.115,-0.048,-0.002,-0.173,-0.043,-0.137,-0.049,0.024,0.03,-0.01
1.47,-0.053,0.189,0.043,-0.048,0.071,0.112,-0.046,-0.004,-0.168,-0.041,-0.132,-0.049,0.023,0.029,-0.01
1.48,-0.051,0.181,0.044,-0.046,0.069,0.11,-0.044,-0.005,-0.162,-0.04,-0.128,-0.048,0.022,0.028,-0.01
1.49,-0.049,0.174,0.045,-0.045,0.067,0.107,-0.042,-0.006,-0.157,-0.038,-0.123,-0.048,0.021,0.028,-0.009
1.5,-0.01,-0.077,0.078,-0.008,-0.154,0.205,-0.115,0.166,-0.162,-0.113,0.084,-0.163,0.024,0.017,-0.002
1.51,0.061,-0.419,0.081,0.058,-0.447,0.322,-0.247,0.363,-0.095,-0.248,0.345,-0.29,0.026,-0.003,0.009
1.52,0.112,-0.245,-0.128,0.106,-0.244,0.156,-0.313,0.074,0.227,-0.318,0.107,-0.066,0.024,-0.028,0.017
1.53,0.141,-0.287,-0.205,0.133,-0.265,0.09,-0.321,0.075,0.331,-0.327,0.138,-0.01,0.019,-0.044,0.019
1.54,0.155,-0.493,-0.182,0.147,-0.452,0.109,-0.3,0.278,0.288,-0.308,0.358,-0.079,0.013,-0.057,0.02
1.55,0.168,-0.423,-0.281,0.158,-0.369,-0.007,-0.282,0.186,0.415,-0.291,0.285,0.04,0.008,-0.074,0.022
1.56,0.175,-0.383,-0.355,0.166,-0.318,-0.101,-0.261,0.131,0.508,-0.271,0.245,0.13,0.004,-0.087,0.023
1.57,0.177,-0.501,-0.342,0.167,-0.425,-0.105,-0.235,0.252,0.482,-0.245,0.377,0.102,0,-0.096,0.023
1.58,0.18,-0.498,-0.383,0.169,-0.414,-0.163,-0.215,0.244,0.529,-0.226,0.377,0.154,-0.003,-0.106,0.023
