k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.3,-1.0,-0.272924,-0.851429,0.170375
-0.2,-1.0,-0.090323,-0.951265,0.161389
-0.1,-1.0,-0.010738,-1.049309,0.163393
2.7755575615629e-17,-1.0,0.08303,-1.131585,0.162927
0.1,-1.0,0.120016,-0.968766,0.173448
0.2,-1.0,0.184667,-0.922976,0.169532
0.3,-1.0,0.270134,-0.686724,0.167146
-0.3,-0.9,-0.236251,-0.789979,0.170325
-0.2,-0.9,-0.168537,-0.839098,0.169614
-0.1,-0.9,-0.009653,-0.907681,0.160663
2.7755575615629e-17,-0.9,0.055834,-1.025655,0.163382
0.1,-0.9,0.078388,-0.882952,0.181756
0.2,-0.9,0.226035,-0.697668,0.17045
0.3,-0.9,0.201981,-0.455551,0.172412
-0.3,-0.8,-0.298377,-0.685827,0.174061
-0.2,-0.8,-0.212013,-0.783174,0.171306
-0.1,-0.8,-0.06382,-0.80043,0.168088
2.7755575615629e-17,-0.8,0.009629,-0.937321,0.163149
0.1,-0.8,0.066852,-0.752446,0.172962
0.2,-0.8,0.24125,-0.531236,0.19431
0.3,-0.8,0.224806,-0.41976,0.175729
-0.3,-0.7,-0.306214,-0.367534,0.186208
-0.2,-0.7,-0.161335,-0.579331,0.174245
-0.1,-0.7,-0.242956,-0.722592,0.171898
2.7755575615629e-17,-0.7,-0.011959,-0.779295,0.181145
0.1,-0.7,0.243085,-0.735324,0.175247
0.2,-0.7,0.19859,-0.552155,0.172911
0.3,-0.7,0.264839,-0.395339,0.181541
-0.3,-0.6,-0.457324,-0.140372,0.184653
-0.2,-0.6,-0.24406,-0.261136,0.184831
-0.1,-0.6,-0.192608,-0.356516,0.186386
2.7755575615629e-17,-0.6,-0.00519,-0.64447,0.184239
0.1,-0.6,0.15177,-0.423768,0.186725
0.2,-0.6,0.266003,-0.333099,0.181369
0.3,-0.6,0.446539,-0.221892,0.180488
-0.3,-0.5,-0.282228,-0.115057,0.197278
-0.2,-0.5,-0.361451,-0.059692,0.183094
-0.1,-0.5,-0.305546,-0.17321,0.181543
2.7755575615629e-17,-0.5,0.007186,-0.505264,0.184948
0.1,-0.5,0.160327,-0.153641,0.179908
0.2,-0.5,0.444718,-0.052698,0.16491
0.3,-0.5,0.449253,-0.082724,0.192241
-0.3,-0.4,-0.371199,-0.055638,0.188314
-0.2,-0.4,-0.481594,0.086336,0.183173
-0.1,-0.4,-0.239669,-0.030823,0.190196
2.7755575615629e-17,-0.4,-0.004153,-0.352424,0.186288
0.1,-0.4,0.275558,-0.092177,0.187243
0.2,-0.4,0.329884,0.043693,0.183968
0.3,-0.4,0.519258,0.037567,0.181432
-0.3,-0.3,-0.452198,0.044707,0.170187
-0.2,-0.3,-0.436679,0.172839,0.190586
-0.1,-0.3,-0.344137,0.044074,0.18166
