Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.020, 0.916, 0.000, -0.000, -0.156, 0.005, -0.119
1.040, 1.039, -0.000, -0.000, -0.269, 0.001, -0.155
1.060, 1.047, 0.000, -0.000, -0.272, -0.005, -0.157
1.080, 1.047, 0.000, -0.000, -0.271, -0.012, -0.157
1.100, 1.047, -0.000, 0.000, -0.271, -0.019, -0.157
1.120, 1.047, -0.000, 0.000, -0.270, -0.025, -0.156
1.140, 1.047, 0.000, -0.000, -0.270, -0.032, -0.156
1.160, 1.047, -0.000, -0.000, -0.269, -0.038, -0.155
1.180, 1.047, 0.000, -0.000, -0.268, -0.045, -0.155
1.200, 1.047, -0.000, 0.000, -0.267, -0.051, -0.154
1.220, 1.047, 0.000, -0.000, -0.266, -0.058, -0.154
1.240, 1.047, 0.000, -0.000, -0.265, -0.064, -0.153
1.260, 1.047, 0.000, -0.000, -0.263, -0.070, -0.152
1.280, 1.047, 0.000, -0.000, -0.262, -0.077, -0.151
1.300, 1.047, -0.000, 0.000, -0.260, -0.083, -0.150
1.320, 1.047, 0.000, 0.000, -0.258, -0.089, -0.149
1.340, 1.047, 0.000, 0.000, -0.256, -0.095, -0.148
1.360, 0.947, 0.000, -0.000, -0.235, -0.094, -0.136
1.380, 0.602, -0.000, 0.000, -0.156, -0.066, -0.090
1.400, 0.345, -0.000, 0.000, -0.090, -0.039, -0.052
1.420, 0.193, 0.000, -0.000, -0.050, -0.022, -0.029
1.440, 0.107, 0.000, -0.000, -0.028, -0.012, -0.016
1.460, 0.059, 0.000, -0.000, -0.015, -0.007, -0.009
1.480, 0.032, -0.000, 0.000, -0.009, -0.004, -0.005
1.500, 0.018, -0.000, 0.000, -0.005, -0.002, -0.003
1.520, 0.010, 0.000, -0.000, -0.003, -0.001, -0.002
1.540, 0.005, 0.000, -0.000, -0.001, -0.001, -0.001
1.560, 0.003, -0.000, 0.000, -0.001, -0.000, -0.001
1.580, 0.002, 0.000, 0.000, -0.000, -0.000, -0.000
1.600, 0.001, -0.000, 0.000, -0.000, -0.000, -0.000
1.620, 0.001, 0.000, -0.000, -0.000, -0.000, -0.000
1.640, 0.000, 0.000, -0.000, -0.000, 0.000, -0.000
1.660, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000
1.680, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.700, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.720, -0.916, 0.000, -0.000, 0.192, 0.085, 0.111
1.740, -1.039, 0.000, -0.000, 0.250, 0.103, 0.144
1.760, -1.047, 0.000, -0.000, 0.255, 0.099, 0.147
1.780, -1.047, 0.000, -0.000, 0.257, 0.093, 0.148
1.800, -1.047, -0.000, 0.000, 0.259, 0.086, 0.149
1.820, -1.047, -0.000, 0.000, 0.261, 0.080, 0.150
1.840, -1.047, 0.000, -0.000, 0.262, 0.074, 0.151
1.860, -1.047, -0.000, 0.000, 0.264, 0.067, 0.152
1.880, -1.047, -0.000, 0.000, 0.265, 0.061, 0.153
1.900, -1.047, -0.000, 0.000, 0.266, 0.055, 0.154
1.920, -1.047, 0.000, -0.000, 0.267, 0.048, 0.154
1.940, -1.047, -0.000, 0.000, 0.268, 0.042, 0.155
1.960, -1.047, 0.000, -0.000, 0.269, 0.035, 0.155
1.980, -1.047, 0.000, 0.000, 0.270, 0.029, 0.156
2.000, -1.047, -0.000, -0.000, 0.271, 0.022, 0.156
2.020, -1.047, -0.000, 0.000, 0.271, 0.016, 0.156
2.040, -1.047, -0.000, 0.000, 0.272, 0.009, 0.157
2.060, -1.047, 0.000, -0.000, 0.272, 0.002, 0.157
2.080, -1.047, -0.000, 0.000, 0.272, -0.004, 0.157
2.100, -1.047, -0.000, 0.000, 0.272, -0.011, 0.157
2.120, -1.047, 0.000, -0.000, 0.272, -0.017, 0.157
2.140, -1.047, -0.000, 0.000, 0.272, -0.024, 0.157
2.160, -1.047, -0.000, 0.000, 0.271, -0.030, 0.157
