Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.020, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.040, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.060, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.080, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.100, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.120, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.140, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.160, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.180, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.200, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.220, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.240, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.260, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.280, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.300, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.320, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.340, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.360, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.380, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.400, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.420, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.440, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.460, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.480, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.500, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.520, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.540, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.560, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
