Time (s),o1,o2,fwd_force,filtered_force_1,filtered_force_2,filtered_force_3,filtered_force_4,error_force,gamma_1,gamma_2,gamma_3,gamma_4
0.000, 0.734, -0.774, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.020, 0.670, -0.859, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.040, 0.603, -0.883, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.060, 0.535, -0.886, 0.000, 0.072, 0.082, 0.072, 0.082, 0.072, 0.000, 0.000, 0.000, 0.000
0.080, 0.463, -0.883, 0.000, 0.256, 0.305, 0.256, 0.305, 0.256, 0.000, 0.000, 0.000, 0.000
0.100, 0.380, -0.878, 0.000, 1.000, 0.789, 1.000, 0.793, 1.000, 0.001, 0.001, 0.001, 0.001
0.120, 0.275, -0.869, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.001, 0.001, 0.001, 0.001
0.140, 0.137, -0.859, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.001, 0.001, 0.001, 0.001
0.160, -0.050, -0.845, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.001, 0.002, 0.001
0.180, -0.301, -0.823, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.200, -0.575, -0.787, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.220, -0.774, -0.733, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.240, -0.860, -0.666, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.260, -0.884, -0.595, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.280, -0.887, -0.522, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.300, -0.883, -0.443, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.320, -0.877, -0.353, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002
0.340, -0.869, -0.239, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.003, 0.003, 0.003, 0.003
0.360, -0.858, -0.088, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.003, 0.003, 0.003, 0.003
0.380, -0.843, 0.117, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.002, 0.002, 0.002, 0.002
0.400, -0.818, 0.379, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.002, 0.002, 0.002, 0.002
0.420, -0.779, 0.639, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.002, 0.002, 0.002, 0.002
0.440, -0.724, 0.802, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.002, 0.002, 0.002, 0.002
0.460, -0.661, 0.866, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.480, -0.597, 0.883, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.500, -0.533, 0.884, 1.000, 1.000, 0.928, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.520, -0.466, 0.881, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.540, -0.390, 0.876, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.560, -0.296, 0.869, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.580, -0.175, 0.860, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.600, -0.007, 0.848, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.620, 0.216, 0.828, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.640, 0.486, 0.799, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.001, 0.001
0.660, 0.717, 0.753, 1.000, 1.000, 1.000, 0.960, 1.000, 0.000, 0.001, 0.002, 0.001, 0.001
0.680, 0.837, 0.690, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.001, 0.001
0.700, 0.877, 0.621, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.001, 0.001
0.720, 0.885, 0.551, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
