Time (s),o1,o2,fwd_force,filtered_force_1,filtered_force_2,filtered_force_3,filtered_force_4,filtered_force_5,filtered_force_6,error_force,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6
0.000, 0.734, -0.774, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.020, 0.670, -0.859, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.040, 0.603, -0.883, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.060, 0.535, -0.886, 0.000, 0.101, 0.158, 0.216, 0.101, 0.158, 0.216, 0.101, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.080, 0.463, -0.883, 0.000, 0.189, 0.246, 0.304, 0.189, 0.246, 0.304, 0.189, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0.380, -0.878, 0.000, 0.846, 1.000, 1.000, 0.846, 1.000, 1.000, 0.846, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
0.120, 0.279, -0.871, 0.000, 0.299, 1.000, 1.000, 0.404, 1.000, 1.000, 0.299, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
0.140, 0.146, -0.861, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.001, 0.001, 0.000, 0.001, 0.001
0.160, -0.037, -0.847, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.002, 0.002, 0.000, 0.002, 0.002
0.180, -0.281, -0.826, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.002, 0.002, 0.000, 0.002, 0.002
0.200, -0.555, -0.792, 0.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.002, 0.002, 0.000, 0.002, 0.002
0.220, -0.761, -0.741, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.240, -0.855, -0.676, 0.000, 1.000, 0.000, 1.000, 1.000, 0.000, 1.000, 1.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.260, -0.883, -0.607, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.280, -0.887, -0.536, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.300, -0.884, -0.460, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.320, -0.878, -0.374, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.340, -0.871, -0.268, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003
0.360, -0.861, -0.129, 0.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003
0.380, -0.846, 0.061, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
0.400, -0.824, 0.312, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.002, 0.002, 0.001, 0.002, 0.002
0.420, -0.789, 0.582, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.440, -0.736, 0.776, 1.000, 1.000, 1.000, 0.548, 1.000, 1.000, 1.000, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.460, -0.672, 0.859, 1.000, 1.000, 1.000, 0.145, 1.000, 1.000, 0.278, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
0.480, -0.605, 0.883, 1.000, 1.000, 1.000, 0.709, 1.000, 1.000, 0.740, 0.000, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002
