Time (s),o1,o2,fwd_force,filtered_force_1,filtered_force_2,filtered_force_3,filtered_force_4,error_force,gamma_1,gamma_2,gamma_3,gamma_4
0.000, 0.734, -0.774, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.020, 0.670, -0.859, 0.000, 0.548, 0.313, 0.548, 0.313, 0.548, 0.000, 0.000, 0.000, 0.000
0.040, 0.603, -0.883, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.060, 0.535, -0.886, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.080, 0.461, -0.883, 0.000, 1.000, 0.000, 1.000, 0.000, 1.000, 0.001, 0.000, 0.001, 0.000
0.100, 0.376, -0.877, 0.000, 1.000, 0.000, 1.000, 0.000, 1.000, 0.001, 0.000, 0.001, 0.000
0.120, 0.274, -0.870, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.001, 0.001, 0.001, 0.001
0.140, 0.139, -0.860, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.001, 0.001, 0.001, 0.000
0.160, -0.046, -0.846, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.000, 0.001
0.180, -0.293, -0.825, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.000, 0.001
0.200, -0.566, -0.791, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.000, 0.000
0.220, -0.767, -0.739, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.000, 0.001
0.240, -0.857, -0.675, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.000, 0.001
0.260, -0.883, -0.608, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.001, 0.000, 0.002
0.280, -0.887, -0.539, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.002, 0.000, 0.002
0.300, -0.884, -0.468, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.002, 0.000, 0.002
0.320, -0.878, -0.386, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.002, 0.000, 0.002
0.340, -0.871, -0.286, 0.000, 0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.002, 0.000, 0.002
0.360, -0.862, -0.156, 0.000, 0.006, 1.000, 0.000, 1.000, 0.006, 0.000, 0.002, 0.000, 0.002
0.380, -0.848, 0.023, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.001, 0.002, 0.001, 0.002
0.400, -0.828, 0.264, 1.000, 0.000, 1.000, 0.000, 1.000, 1.000, 0.001, 0.001, 0.001, 0.001
