Time (s),o1,o2,FC_R1,FC_R2,FC_L1,FC_L2,ExFC_R1,ExFC_R2,ExFC_L1,ExFC_L2
0.000, 0.016, 0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 1.000, 0.000
0.020, 0.025, 0.009, 0.000, 0.026, 0.021, 0.000, 0.000, 1.000, 1.000, 0.000
0.040, 0.037, 0.003, 0.000, 0.007, 0.005, 0.000, 0.000, 1.000, 1.000, 0.000
0.060, 0.053, -0.007, 0.000, 0.008, 0.006, 0.000, 0.000, 1.000, 1.000, 0.000
0.080, 0.072, -0.027, 0.000, 5.210, 4.111, 0.000, 0.000, 1.000, 1.000, 0.000
0.100, 0.095, -0.059, 3.824, 26.593, 23.503, 1.679, 0.000, 1.000, 1.000, 0.000
0.120, 0.118, -0.110, 0.000, 16.045, 14.375, 0.000, 0.000, 1.000, 1.000, 0.000
0.140, 0.139, -0.183, 0.000, 13.180, 13.444, 0.000, 0.000, 1.000, 1.000, 0.000
0.160, 0.152, -0.284, 0.000, 13.542, 13.861, 0.000, 0.000, 1.000, 1.000, 0.000
0.180, 0.146, -0.406, 0.000, 13.431, 14.496, 0.000, 0.000, 1.000, 1.000, 0.000
0.200, 0.110, -0.533, 0.000, 12.903, 15.069, 0.000, 0.000, 1.000, 1.000, 0.000
0.220, 0.032, -0.637, 0.000, 11.753, 15.485, 0.000, 0.000, 1.000, 1.000, 0.000
0.240, -0.101, -0.701, 0.000, 10.909, 15.982, 0.000, 1.000, 0.000, 0.000, 1.000
0.260, -0.294, -0.723, 2.594, 1.144, 3.721, 0.000, 1.000, 0.000, 0.000, 1.000
0.280, -0.521, -0.712, 9.770, 0.000, 0.000, 16.696, 1.000, 0.000, 0.000, 1.000
0.300, -0.713, -0.682, 17.528, 0.000, 0.000, 35.746, 1.000, 0.000, 0.000, 1.000
0.320, -0.819, -0.645, 14.463, 0.000, 0.000, 14.797, 1.000, 0.000, 0.000, 1.000
0.340, -0.861, -0.608, 14.011, 0.000, 0.000, 10.154, 1.000, 0.000, 0.000, 1.000
0.360, -0.873, -0.572, 16.058, 0.000, 0.000, 10.128, 1.000, 0.000, 0.000, 1.000
0.380, -0.875, -0.536, 19.736, 0.000, 0.000, 8.431, 1.000, 0.000, 0.000, 1.000
0.400, -0.874, -0.500, 21.277, 0.000, 0.000, 8.049, 1.000, 0.000, 0.000, 1.000
0.420, -0.871, -0.462, 17.137, 0.000, 0.000, 7.910, 1.000, 0.000, 0.000, 1.000
0.440, -0.868, -0.420, 14.925, 0.000, 0.000, 5.985, 1.000, 0.000, 0.000, 1.000
0.460, -0.865, -0.370, 15.308, 0.000, 0.000, 7.686, 1.000, 0.000, 0.000, 1.000
0.480, -0.861, -0.310, 15.408, 0.000, 0.000, 8.310, 1.000, 0.000, 0.000, 1.000
0.500, -0.855, -0.233, 16.430, 0.000, 0.000, 10.407, 1.000, 0.000, 0.000, 1.000
0.520, -0.849, -0.130, 16.215, 0.000, 0.000, 10.935, 1.000, 0.000, 0.000, 1.000
0.540, -0.839, 0.011, 16.284, 0.000, 0.000, 10.990, 1.000, 0.000, 0.000, 1.000
0.560, -0.825, 0.202, 16.421, 0.000, 0.000, 10.920, 1.000, 0.000, 0.000, 1.000
0.580, -0.804, 0.436, 16.115, 0.000, 0.000, 10.923, 1.000, 0.000, 0.000, 1.000
0.600, -0.772, 0.657, 14.883, 0.000, 0.000, 12.094, 1.000, 0.000, 0.000, 1.000
0.620, -0.730, 0.796, 14.948, 0.000, 0.000, 11.888, 1.000, 0.000, 0.000, 1.000
0.640, -0.685, 0.854, 14.859, 0.000, 0.000, 11.680, 1.000, 0.000, 0.000, 1.000
0.660, -0.643, 0.873, 14.841, 0.000, 0.000, 12.077, 1.000, 0.000, 0.000, 1.000
0.680, -0.604, 0.877, 14.792, 0.000, 0.000, 12.813, 1.000, 0.000, 0.000, 1.000
0.700, -0.568, 0.876, 14.664, 0.000, 0.000, 13.395, 1.000, 0.000, 0.000, 1.000
0.720, -0.532, 0.874, 3.479, 0.083, 8.074, 2.017, 1.000, 0.000, 0.000, 1.000
0.740, -0.496, 0.871, 8.759, 0.000, 12.545, 0.000, 1.000, 0.000, 0.000, 1.000
0.760, -0.457, 0.868, 9.173, 0.000, 4.628, 3.392, 1.000, 0.000, 0.000, 1.000
0.780, -0.414, 0.864, 13.619, 0.000, 4.375, 6.686, 1.000, 0.000, 0.000, 1.000
0.800, -0.364, 0.860, 14.023, 0.000, 4.789, 8.346, 1.000, 0.000, 0.000, 1.000
0.820, -0.302, 0.855, 13.114, 0.000, 5.842, 8.246, 1.000, 0.000, 0.000, 1.000
0.840, -0.222, 0.848, 13.053, 0.000, 6.422, 7.977, 1.000, 0.000, 0.000, 1.000
0.860, -0.115, 0.838, 12.302, 0.000, 6.743, 7.592, 1.000, 0.000, 0.000, 1.000
0.880, 0.031, 0.823, 10.780, 0.000, 7.054, 6.554, 0.000, 1.000, 1.000, 0.000
0.900, 0.228, 0.800, 8.575, 0.020, 9.703, 4.132, 0.000, 1.000, 1.000, 0.000
0.920, 0.465, 0.767, 0.000, 0.263, 6.940, 0.000, 0.000, 1.000, 1.000, 0.000
0.940, 0.679, 0.725, 0.000, 15.609, 9.282, 3.716, 0.000, 1.000, 1.000, 0.000
