k_p,k_c,k_x,mass_shift,final_pos_x,final_pos_y,final_pos_z
6.000, 0.250, -0.500, -0.054, -0.402, -0.057, 0.163
6.000, 0.250, 0.500, -0.045, 0.020, -0.040, 0.182
6.000, 0.250, -0.500, -0.043, -0.399, -0.058, 0.158
6.000, 0.250, 0.500, -0.043, 0.024, -0.041, 0.182
6.000, 0.250, -0.500, -0.040, -0.412, -0.081, 0.152
6.000, 0.250, 0.500, -0.040, 0.031, -0.045, 0.182
6.000, 0.250, -0.500, -0.037, -0.435, -0.075, 0.155
6.000, 0.250, 0.500, -0.037, 0.037, -0.043, 0.182
6.000, 0.250, -0.500, -0.034, -0.460, -0.064, 0.156
6.000, 0.250, 0.500, -0.034, 0.045, -0.043, 0.182
6.000, 0.250, -0.500, -0.031, -0.468, -0.042, 0.161
6.000, 0.250, 0.500, -0.032, 0.094, -0.042, 0.188
6.000, 0.250, -0.500, -0.029, -0.487, -0.051, 0.155
6.000, 0.250, 0.500, -0.028, 0.100, -0.042, 0.190
6.000, 0.250, -0.500, -0.026, -0.463, -0.040, 0.152
6.000, 0.250, 0.500, -0.025, 0.118, -0.044, 0.191
6.000, 0.250, -0.500, -0.023, -0.454, -0.041, 0.152
6.000, 0.250, 0.500, -0.021, 0.138, -0.056, 0.193
6.000, 0.250, -0.500, -0.020, -0.441, -0.033, 0.152
6.000, 0.250, 0.500, -0.018, 0.157, -0.067, 0.197
6.000, 0.250, -0.500, -0.018, -0.441, -0.031, 0.152
6.000, 0.250, 0.500, -0.015, 0.148, -0.065, 0.191
6.000, 0.250, -0.500, -0.014, -0.405, -0.025, 0.153
6.000, 0.250, 0.500, -0.010, 0.173, -0.064, 0.193
6.000, 0.250, -0.500, -0.012, -0.402, -0.024, 0.154
6.000, 0.250, 0.500, -0.007, 0.195, -0.068, 0.197
6.000, 0.250, -0.500, -0.009, -0.400, -0.021, 0.155
6.000, 0.250, 0.500, -0.004, 0.227, -0.072, 0.201
6.000, 0.250, -0.500, -0.007, -0.400, -0.021, 0.155
6.000, 0.250, 0.500, -0.001, 0.261, -0.073, 0.205
6.000, 0.250, -0.500, -0.005, -0.423, -0.033, 0.154
6.000, 0.250, 0.500, 0.002, 0.288, -0.081, 0.209
6.000, 0.250, -0.500, -0.002, -0.420, -0.034, 0.152
6.000, 0.250, 0.500, 0.005, 0.334, -0.085, 0.216
6.000, 0.250, -0.500, -0.001, -0.402, -0.032, 0.152
6.000, 0.250, 0.500, 0.009, 0.392, -0.080, 0.220
6.000, 0.250, -0.500, -0.000, -0.399, 0.011, 0.150
6.000, 0.250, 0.500, 0.011, 0.429, -0.062, 0.218
6.000, 0.250, -0.500, 0.003, -0.411, 0.013, 0.147
6.000, 0.250, 0.500, 0.013, 0.468, -0.051, 0.215
6.000, 0.250, -0.500, 0.007, -0.444, 0.005, 0.147
6.000, 0.250, 0.500, 0.017, 0.511, -0.050, 0.215
6.000, 0.250, -0.500, 0.011, -0.449, -0.023, 0.147
6.000, 0.250, 0.500, 0.020, 0.520, -0.130, 0.214
6.000, 0.250, -0.500, 0.013, -0.462, -0.019, 0.139
6.000, 0.250, 0.500, 0.023, 0.593, -0.101, 0.213
6.000, 0.250, -0.500, 0.017, -0.437, -0.030, 0.140
6.000, 0.250, 0.500, 0.026, 0.607, -0.151, 0.206
6.000, 0.250, -0.500, 0.021, -0.441, -0.036, 0.138
6.000, 0.250, 0.500, 0.029, 0.497, -0.104, 0.176
6.000, 0.250, -0.500, 0.027, -0.433, -0.031, 0.144
6.000, 0.250, 0.500, 0.032, 0.550, -0.137, 0.184
6.000, 0.250, -0.500, 0.031, -0.441, -0.009, 0.147
6.000, 0.250, 0.500, 0.036, 0.718, -0.225, 0.207
6.000, 0.250, -0.500, 0.031, -0.453, -0.010, 0.146
6.000, 0.250, 0.500, 0.039, 0.750, -0.192, 0.191
6.000, 0.250, -0.500, 0.030, -0.418, -0.002, 0.142
6.000, 0.250, 0.500, 0.043, 0.690, -0.213, 0.200
6.000, 0.250, -0.500, 0.033, -0.421, 0.003, 0.142
6.000, 0.250, 0.500, 0.046, 0.582, -0.161, 0.200
6.000, 0.250, -0.500, 0.040, -0.396, 0.019, 0.140
6.000, 0.250, 0.500, 0.050, 0.476, -0.120, 0.186
6.000, 0.250, -0.500, 0.048, -0.380, 0.008, 0.138
6.000, 0.250, 0.500, 0.054, 0.337, -0.058, 0.147
6.000, 0.250, -0.500, 0.058, -0.368, -0.016, 0.138
6.000, 0.250, 0.500, 0.057, 0.344, -0.097, 0.141
6.000, 0.250, -0.500, 0.061, -0.373, -0.008, 0.137
6.000, 0.250, 0.500, 0.060, 0.370, -0.131, 0.140
6.000, 0.250, -0.500, 0.065, -0.371, -0.008, 0.139
6.000, 0.250, 0.500, 0.064, 0.323, -0.170, 0.147
