k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.700, -0.700, -0.933, 0.106, 0.057
-0.600, -0.700, -0.942, -0.515, 0.156
-0.500, -0.700, -0.481, -0.581, 0.145
-0.400, -0.700, -0.363, -0.491, 0.144
-0.300, -0.700, -0.328, -0.454, 0.144
-0.200, -0.700, -0.152, -0.463, 0.125
-0.100, -0.700, 0.018, -0.525, 0.118
-0.000, -0.700, 0.139, -0.590, 0.117
0.100, -0.700, 0.143, -0.754, 0.064
0.200, -0.700, 0.235, -0.650, 0.060
0.300, -0.700, 0.348, -0.533, 0.059
0.400, -0.700, 0.783, -0.454, 0.063
0.500, -0.700, 0.672, -0.505, 0.060
0.600, -0.700, 1.173, -0.547, 0.108
0.700, -0.700, 1.147, -0.605, 0.080
-0.700, -0.600, -0.859, -0.305, 0.058
-0.600, -0.600, -0.841, -0.341, 0.057
-0.500, -0.600, -0.767, -0.360, 0.137
-0.400, -0.600, -0.531, -0.335, 0.140
-0.300, -0.600, -0.314, -0.331, 0.128
-0.200, -0.600, -0.125, -0.453, 0.142
-0.100, -0.600, 0.024, -0.404, 0.111
-0.000, -0.600, 0.177, -0.526, 0.111
0.100, -0.600, 0.086, -0.578, 0.066
0.200, -0.600, 0.185, -0.502, 0.063
0.300, -0.600, 0.318, -0.464, 0.060
0.400, -0.600, 0.492, -0.464, 0.063
0.500, -0.600, 0.660, -0.458, 0.075
0.600, -0.600, 1.068, -0.531, 0.058
0.700, -0.600, 1.348, -0.416, 0.103
-0.700, -0.500, -1.145, -0.408, 0.053
-0.600, -0.500, -1.044, -0.330, 0.086
-0.500, -0.500, -0.752, -0.322, 0.149
-0.400, -0.500, -0.476, -0.260, 0.134
-0.300, -0.500, -0.238, -0.301, 0.130
-0.200, -0.500, -0.077, -0.331, 0.126
-0.100, -0.500, 0.052, -0.372, 0.117
-0.000, -0.500, 0.149, -0.423, 0.111
0.100, -0.500, 0.117, -0.497, 0.065
0.200, -0.500, 0.180, -0.431, 0.064
0.300, -0.500, 0.304, -0.412, 0.063
0.400, -0.500, 0.448, -0.359, 0.068
0.500, -0.500, 0.639, -0.377, 0.067
0.600, -0.500, 1.063, -0.506, 0.085
0.700, -0.500, 1.469, -0.453, 0.082
-0.700, -0.400, -1.262, -0.399, 0.129
-0.600, -0.400, -1.125, -0.392, 0.082
-0.500, -0.400, -0.689, -0.463, 0.140
-0.400, -0.400, -0.451, -0.208, 0.125
-0.300, -0.400, -0.233, -0.239, 0.131
-0.200, -0.400, -0.067, -0.271, 0.123
-0.100, -0.400, 0.055, -0.288, 0.117
-0.000, -0.400, 0.122, -0.367, 0.114
0.100, -0.400, 0.071, -0.367, 0.066
0.200, -0.400, 0.137, -0.352, 0.068
0.300, -0.400, 0.251, -0.336, 0.069
0.400, -0.400, 0.464, -0.370, 0.074
0.500, -0.400, 0.661, -0.324, 0.088
0.600, -0.400, 1.068, -0.469, 0.087
0.700, -0.400, 1.426, -0.374, 0.091
-0.700, -0.300, -1.408, -0.072, 0.143
-0.600, -0.300, -1.169, -0.486, 0.124
-0.500, -0.300, -0.805, -0.369, 0.149
-0.400, -0.300, -0.432, -0.180, 0.135
-0.300, -0.300, -0.227, -0.161, 0.123
-0.200, -0.300, -0.100, -0.186, 0.123
-0.100, -0.300, 0.018, -0.252, 0.121
-0.000, -0.300, 0.064, -0.290, 0.103
0.100, -0.300, 0.083, -0.296, 0.074
0.200, -0.300, 0.161, -0.292, 0.080
0.300, -0.300, 0.274, -0.280, 0.082
0.400, -0.300, 0.485, -0.273, 0.088
