k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.700, -0.700, -0.946, -0.382, 0.146
-0.600, -0.700, -0.887, -0.461, 0.137
-0.500, -0.700, -0.802, -0.575, 0.137
-0.400, -0.700, -0.684, -0.684, 0.141
-0.300, -0.700, -0.505, -0.790, 0.132
-0.200, -0.700, -0.318, -0.891, 0.138
-0.100, -0.700, -0.135, -0.931, 0.151
-0.000, -0.700, -0.087, -0.952, 0.150
0.100, -0.700, 0.084, -0.958, 0.154
0.200, -0.700, 0.211, -0.812, 0.134
0.300, -0.700, 0.568, -0.587, 0.152
0.400, -0.700, 0.630, -0.402, 0.154
0.500, -0.700, 0.667, -0.110, 0.162
0.600, -0.700, 0.510, -0.075, 0.167
0.700, -0.700, 0.459, -0.422, 0.166
-0.700, -0.600, -1.033, -0.102, 0.151
-0.600, -0.600, -0.822, -0.380, 0.138
-0.500, -0.600, -0.795, -0.480, 0.134
-0.400, -0.600, -0.683, -0.539, 0.135
-0.300, -0.600, -0.539, -0.661, 0.138
-0.200, -0.600, -0.349, -0.739, 0.133
-0.100, -0.600, -0.180, -0.829, 0.138
-0.000, -0.600, -0.063, -0.831, 0.152
0.100, -0.600, -0.005, -0.863, 0.149
0.200, -0.600, 0.128, -0.867, 0.150
0.300, -0.600, 0.423, -0.675, 0.147
0.400, -0.600, 0.606, -0.530, 0.139
0.500, -0.600, 0.711, -0.517, 0.154
0.600, -0.600, 0.723, -0.213, 0.157
0.700, -0.600, 0.646, -0.158, 0.154
-0.700, -0.500, -1.019, -0.029, 0.136
-0.600, -0.500, -0.842, -0.381, 0.129
-0.500, -0.500, -0.677, -0.488, 0.129
-0.400, -0.500, -0.592, -0.560, 0.129
-0.300, -0.500, -0.463, -0.618, 0.131
-0.200, -0.500, -0.352, -0.665, 0.131
-0.100, -0.500, -0.212, -0.712, 0.144
-0.000, -0.500, -0.102, -0.721, 0.140
0.100, -0.500, -0.004, -0.736, 0.143
0.200, -0.500, 0.160, -0.785, 0.156
0.300, -0.500, 0.368, -0.740, 0.164
0.400, -0.500, 0.623, -0.597, 0.159
0.500, -0.500, 0.668, -0.575, 0.139
0.600, -0.500, 0.598, -0.299, 0.146
0.700, -0.500, 0.715, -0.119, 0.153
-0.700, -0.400, -0.880, -0.073, 0.146
-0.600, -0.400, -0.783, -0.264, 0.134
-0.500, -0.400, -0.612, -0.422, 0.130
-0.400, -0.400, -0.524, -0.483, 0.129
-0.300, -0.400, -0.410, -0.601, 0.134
-0.200, -0.400, -0.300, -0.610, 0.134
-0.100, -0.400, -0.214, -0.591, 0.130
-0.000, -0.400, -0.113, -0.611, 0.131
0.100, -0.400, -0.027, -0.610, 0.138
0.200, -0.400, 0.130, -0.679, 0.153
0.300, -0.400, 0.389, -0.663, 0.167
0.400, -0.400, 0.486, -0.638, 0.177
0.500, -0.400, 0.703, -0.593, 0.139
0.600, -0.400, 0.823, -0.399, 0.155
0.700, -0.400, 0.690, -0.050, 0.142
-0.700, -0.300, -0.676, -0.090, 0.145
-0.600, -0.300, -0.651, -0.212, 0.140
-0.500, -0.300, -0.532, -0.303, 0.141
-0.400, -0.300, -0.445, -0.386, 0.132
-0.300, -0.300, -0.338, -0.471, 0.137
-0.200, -0.300, -0.258, -0.492, 0.135
-0.100, -0.300, -0.165, -0.494, 0.134
-0.000, -0.300, -0.082, -0.479, 0.134
0.100, -0.300, -0.006, -0.383, 0.144
0.200, -0.300, 0.101, -0.494, 0.155
0.300, -0.300, 0.248, -0.579, 0.171
0.400, -0.300, 0.455, -0.675, 0.186
0.500, -0.300, 0.425, -0.740, 0.198
0.600, -0.300, 0.716, -0.370, 0.146
0.700, -0.300, 0.733, -0.037, 0.197
-0.700, -0.200, -0.724, -0.091, 0.141
-0.600, -0.200, -0.558, -0.161, 0.145
-0.500, -0.200, -0.425, -0.194, 0.143
-0.400, -0.200, -0.364, -0.256, 0.143
-0.300, -0.200, -0.299, -0.305, 0.140
-0.200, -0.200, -0.198, -0.274, 0.141
-0.100, -0.200, -0.123, -0.270, 0.144
-0.000, -0.200, -0.063, -0.220, 0.146
0.100, -0.200, -0.020, -0.196, 0.142
0.200, -0.200, 0.058, -0.208, 0.159
0.300, -0.200, 0.118, -0.269, 0.172
0.400, -0.200, 0.254, -0.430, 0.190
0.500, -0.200, 0.343, -0.473, 0.205
0.600, -0.200, 0.524, -0.455, 0.200
0.700, -0.200, 0.677, -0.187, 0.148
-0.700, -0.100, -0.566, -0.029, 0.151
-0.600, -0.100, -0.500, -0.108, 0.149
-0.500, -0.100, -0.412, -0.121, 0.152
-0.400, -0.100, -0.329, -0.144, 0.150
-0.300, -0.100, -0.263, -0.172, 0.144
-0.200, -0.100, -0.195, -0.158, 0.143
-0.100, -0.100, -0.134, -0.156, 0.142
-0.000, -0.100, -0.077, -0.100, 0.140
0.100, -0.100, -0.027, -0.069, 0.141
0.200, -0.100, 0.017, -0.070, 0.150
0.300, -0.100, 0.060, -0.113, 0.166
0.400, -0.100, 0.199, -0.188, 0.191
0.500, -0.100, 0.295, -0.302, 0.214
0.600, -0.100, 0.560, -0.311, 0.215
0.700, -0.100, 0.714, -0.401, 0.154
