Time (s), joint_torque_1, joint_torque_2, joint_torque_3, w_1, w_2, w_3
0.000, -0.000, 0.000, -0.000, -0.597, 0.250, -0.153
0.020, 0.000, -0.000, -0.000, 0.163, -0.396, -0.441
0.040, 0.000, -0.000, -0.000, 0.423, -0.185, -0.392
0.060, 0.000, 0.000, -0.000, 0.443, 0.148, -0.410
0.080, 0.000, 0.000, -0.000, 0.396, 0.281, -0.324
0.100, 1.000, 1.000, -0.943, 0.340, 0.340, -0.320
0.120, 4.283, 4.000, 0.295, 0.499, 0.466, 0.034
0.140, 2.053, 3.999, 1.502, 0.272, 0.529, 0.199
0.160, 0.609, 1.678, 0.470, 0.221, 0.609, 0.170
0.180, 0.494, 0.455, -0.180, 0.437, 0.403, -0.159
0.200, 0.610, 0.512, -0.195, 0.463, 0.389, -0.148
0.220, 0.706, 0.710, -0.123, 0.459, 0.461, -0.080
0.240, 0.763, 0.846, -0.071, 0.454, 0.504, -0.042
0.260, 0.795, 0.925, -0.040, 0.452, 0.526, -0.022
0.280, 0.814, 0.971, -0.021, 0.451, 0.538, -0.012
0.300, 0.824, 0.996, -0.012, 0.450, 0.544, -0.006
0.320, 0.830, 1.010, -0.006, 0.449, 0.547, -0.003
0.340, 0.834, 1.021, -0.002, 0.449, 0.550, -0.001
0.360, 0.835, 1.023, -0.001, 0.449, 0.550, -0.001
0.380, 0.836, 1.026, -0.000, 0.449, 0.551, -0.000
0.400, 0.836, 1.026, 0.000, 0.449, 0.551, 0.000
0.420, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.440, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.460, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.480, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.500, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.520, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.540, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.560, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.580, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.600, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.620, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.640, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.660, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.680, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.700, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.720, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.740, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.760, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.780, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.800, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.820, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.840, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.860, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.880, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.900, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.920, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.940, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.960, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
0.980, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.000, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.020, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.040, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.060, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.080, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.100, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.120, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.140, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.160, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.180, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.200, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.220, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.240, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.260, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.280, 0.836, 1.027, 0.000, 0.449, 0.551, 0.000
1.300, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.320, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.340, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.360, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.380, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.400, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.420, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.440, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.460, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.480, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.500, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.520, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.540, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.560, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.580, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.600, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.620, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.640, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
1.660, 0.837, 1.027, 0.000, 0.449, 0.551, 0.000
