Time (s), joint_torque_1, joint_torque_2, joint_torque_3, w_1, w_2, w_3
0.000, -0.000, 0.000, -0.000, -0.748, 0.056, -0.196
0.020, -0.000, 0.000, -0.000, -0.378, 0.263, -0.359
0.040, -0.000, 0.000, -0.000, -0.359, 0.241, -0.400
0.060, -0.000, 0.000, -0.000, -0.338, 0.343, -0.319
0.080, 0.000, 3.136, -0.153, 0.000, 0.954, -0.046
0.100, -0.000, 2.788, 0.695, -0.000, 0.800, 0.200
0.120, -0.000, 0.848, 0.017, -0.000, 0.980, 0.020
0.140, -0.000, 0.681, -0.063, -0.000, 0.916, -0.084
0.160, -0.000, 0.763, -0.047, -0.000, 0.942, -0.058
0.180, -0.000, 0.836, -0.028, -0.000, 0.968, -0.032
0.200, -0.000, 0.882, -0.016, -0.000, 0.982, -0.018
0.220, -0.000, 0.908, -0.009, -0.000, 0.990, -0.010
0.240, -0.000, 0.922, -0.005, -0.000, 0.995, -0.005
0.260, -0.000, 0.932, -0.003, -0.000, 0.997, -0.003
0.280, -0.000, 0.936, -0.001, -0.000, 0.999, -0.001
0.300, -0.000, 0.938, -0.001, -0.000, 0.999, -0.001
0.320, -0.000, 0.939, -0.000, -0.000, 1.000, -0.000
0.340, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.360, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.380, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.400, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.420, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.440, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.460, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.480, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.500, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.520, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.540, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.560, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.580, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.600, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.620, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.640, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.660, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.680, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.700, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.720, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.740, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.760, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.780, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.800, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.820, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.840, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.860, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.880, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.900, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.920, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.940, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.960, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
0.980, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.000, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.020, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.040, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.060, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.080, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.100, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.120, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.140, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.160, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.180, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.200, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.220, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.240, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.260, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.280, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.300, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.320, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.340, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.360, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.380, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.400, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.420, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.440, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.460, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.480, -0.000, 0.940, -0.000, -0.000, 1.000, -0.000
1.500, -0.000, 0.941, -0.000, -0.000, 1.000, -0.000
1.520, -0.000, 0.941, -0.000, -0.000, 1.000, -0.000
1.540, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.560, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.580, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.600, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.620, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.640, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.660, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.680, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.700, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.720, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.740, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.760, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.780, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.800, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.820, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.840, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.860, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.880, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.900, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.920, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.940, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.960, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
1.980, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.000, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.020, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.040, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.060, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.080, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.100, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.120, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.140, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.160, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.180, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.200, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.220, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.240, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.260, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.280, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.300, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.320, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.340, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.360, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.380, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.400, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.420, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.440, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.460, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.480, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.500, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.520, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.540, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.560, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.580, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.600, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.620, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.640, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.660, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.680, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.700, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.720, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.740, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.760, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.780, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.800, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.820, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.840, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.860, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.880, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.900, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.920, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.940, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.960, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
2.980, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.000, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.020, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.040, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.060, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.080, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.100, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.120, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.140, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.160, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.180, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.200, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.220, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.240, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.260, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.280, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.300, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.320, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.340, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.360, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.380, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.400, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.420, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.440, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.460, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.480, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.500, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.520, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.540, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
3.560, -0.000, 0.941, 0.000, -0.000, 1.000, 0.000
