Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.000, -0.001, -0.058, 0.058, -0.001, -0.058, 0.058, -0.001, -0.058, 0.058, 0.001, -0.058, 0.058, 0.001, -0.058, 0.058, 0.001, -0.058, 
0.000, -0.001, -0.058, 0.058, -0.001, -0.058, 0.058, -0.001, -0.058, 0.058, 0.001, -0.058, 0.058, 0.001, -0.058, 0.058, 0.001, -0.058, 
0.000, -0.001, -0.058, 0.058, -0.001, -0.058, 0.058, -0.001, -0.058, 0.058, 0.001, -0.058, 0.058, 0.001, -0.058, 0.058, 0.001, -0.058, 
0.020, 0.001, -0.334, 0.225, 0.001, -0.334, 0.225, 0.001, -0.334, 0.225, -0.001, -0.334, 0.225, -0.001, -0.334, 0.225, -0.001, -0.334, 
0.020, 0.001, -0.334, 0.225, 0.001, -0.334, 0.225, 0.001, -0.334, 0.225, -0.001, -0.334, 0.225, -0.001, -0.334, 0.225, -0.001, -0.334, 
0.020, 0.001, -0.334, 0.225, 0.001, -0.334, 0.225, 0.001, -0.334, 0.225, -0.001, -0.334, 0.225, -0.001, -0.334, 0.225, -0.001, -0.334, 
0.040, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 
0.040, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 
0.040, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 0.147, -0.001, -0.574, 
0.060, -0.001, -0.798, 0.068, -0.001, -0.798, 0.068, -0.001, -0.798, 0.068, 0.001, -0.798, 0.068, 0.001, -0.798, 0.068, 0.001, -0.798, 
0.060, -0.001, -0.798, 0.068, -0.001, -0.798, 0.068, -0.001, -0.798, 0.068, 0.001, -0.798, 0.068, 0.001, -0.798, 0.068, 0.001, -0.798, 
0.060, -0.001, -0.798, 0.068, -0.001, -0.798, 0.068, -0.001, -0.798, 0.068, 0.001, -0.798, 0.068, 0.001, -0.798, 0.068, 0.001, -0.798, 
0.080, 0.001, -0.991, 0.019, 0.001, -0.991, 0.019, 0.001, -0.991, 0.019, -0.001, -0.991, 0.019, -0.001, -0.991, 0.019, -0.001, -0.991, 
0.080, 0.001, -0.991, 0.019, 0.001, -0.991, 0.019, 0.001, -0.991, 0.019, -0.001, -0.991, 0.019, -0.001, -0.991, 0.019, -0.001, -0.991, 
0.080, 0.001, -0.991, 0.019, 0.001, -0.991, 0.019, 0.001, -0.991, 0.019, -0.001, -0.991, 0.019, -0.001, -0.991, 0.019, -0.001, -0.991, 
0.100, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, 
0.100, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, 
0.100, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, -0.018, -0.001, -1.131, 
0.120, -0.001, -1.212, -0.042, -0.001, -1.212, -0.042, -0.001, -1.212, -0.042, 0.001, -1.212, -0.042, 0.001, -1.212, -0.042, 0.001, -1.212, 
0.120, -0.001, -1.212, -0.042, -0.001, -1.212, -0.042, -0.001, -1.212, -0.042, 0.001, -1.212, -0.042, 0.001, -1.212, -0.042, 0.001, -1.212, 
0.120, -0.001, -1.212, -0.042, -0.001, -1.212, -0.042, -0.001, -1.212, -0.042, 0.001, -1.212, -0.042, 0.001, -1.212, -0.042, 0.001, -1.212, 
0.140, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, 
0.140, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, 
0.140, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, -0.029, 0.001, -1.009, 
