Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, 0.000, -0.000, -0.000, 0.000, -0.000, 
0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, 0.000, -0.000, -0.000, 0.000, -0.000, 
0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, 0.000, -0.000, -0.000, 0.000, -0.000, 
0.015, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.015, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.015, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.030, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, -0.000, -0.000, 0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.030, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, -0.000, -0.000, 0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.030, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, -0.000, -0.000, 0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.045, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.000, 0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.045, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.000, 0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.045, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.000, 0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
0.060, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.000, 0.000, 0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
