Time (s), joint_torque_1, joint_torque_2, joint_torque_3, w_1, w_2, w_3
0.000, -0.000, -0.000, -0.000, -0.056, -0.651, -0.293
0.020, 0.000, -0.000, -0.000, 0.054, -0.480, -0.465
0.040, -0.000, -0.000, -0.000, -0.046, -0.460, -0.494
0.060, 0.049, -0.010, -0.102, 0.306, -0.059, -0.635
0.080, 0.095, -0.166, -0.292, 0.172, -0.300, -0.527
0.100, 0.036, -0.024, -0.088, 0.243, -0.164, -0.594
0.120, 0.030, -0.007, -0.066, 0.295, -0.065, -0.640
0.140, 0.032, -0.009, -0.070, 0.288, -0.079, -0.633
0.160, 0.034, -0.012, -0.076, 0.279, -0.098, -0.623
0.180, 0.035, -0.014, -0.079, 0.273, -0.110, -0.617
0.200, 0.036, -0.015, -0.081, 0.270, -0.116, -0.614
0.220, 0.036, -0.016, -0.082, 0.269, -0.119, -0.612
0.240, 0.036, -0.016, -0.083, 0.268, -0.121, -0.611
0.260, 0.036, -0.017, -0.083, 0.267, -0.122, -0.611
0.280, 0.036, -0.017, -0.083, 0.267, -0.122, -0.611
0.300, 0.036, -0.017, -0.083, 0.267, -0.123, -0.611
0.320, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.340, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.360, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.380, 0.036, -0.017, -0.083, 0.267, -0.123, -0.611
0.400, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.420, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.440, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.460, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.480, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.500, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.520, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.540, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.560, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.580, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.600, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.620, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.640, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.660, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.680, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.700, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.720, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.740, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.760, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.780, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.800, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.820, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.840, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.860, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.880, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.900, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.920, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.940, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.960, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
0.980, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.000, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.020, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.040, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.060, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.080, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.100, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.120, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.140, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.160, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.180, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.200, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.220, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.240, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.260, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.280, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.300, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.320, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.340, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.360, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.380, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.400, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.420, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.440, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.460, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.480, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.500, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.520, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.540, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.560, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.580, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.600, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.620, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.640, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.660, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.680, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.700, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.720, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.740, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.760, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.780, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.800, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.820, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.840, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.860, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.880, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.900, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.920, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.940, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.960, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
1.980, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.000, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.020, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.040, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.060, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.080, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.100, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.120, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
2.140, 0.036, -0.017, -0.083, 0.267, -0.123, -0.610
