k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.300, -1.000, -0.212, -1.332, 0.170
-0.200, -1.000, -0.064, -1.442, 0.166
-0.100, -1.000, -0.015, -1.523, 0.160
0.000, -1.000, 0.100, -1.603, 0.163
0.100, -1.000, 0.124, -1.451, 0.178
0.200, -1.000, 0.220, -1.381, 0.166
0.300, -1.000, 0.368, -0.971, 0.181
-0.300, -0.900, -0.384, -1.266, 0.172
-0.200, -0.900, -0.105, -1.323, 0.163
-0.100, -0.900, -0.064, -1.364, 0.172
0.000, -0.900, 0.040, -1.505, 0.166
0.100, -0.900, 0.108, -1.368, 0.180
0.200, -0.900, 0.293, -1.174, 0.171
0.300, -0.900, 0.347, -1.086, 0.170
-0.300, -0.800, -0.254, -1.109, 0.182
-0.200, -0.800, -0.114, -1.164, 0.180
-0.100, -0.800, -0.270, -1.323, 0.164
0.000, -0.800, 0.010, -1.417, 0.161
0.100, -0.800, 0.075, -1.209, 0.182
0.200, -0.800, 0.215, -0.912, 0.176
0.300, -0.800, 0.162, -0.899, 0.162
-0.300, -0.700, -0.305, -0.854, 0.186
-0.200, -0.700, -0.186, -0.981, 0.183
-0.100, -0.700, -0.183, -1.114, 0.181
0.000, -0.700, -0.009, -1.258, 0.180
0.100, -0.700, 0.212, -1.204, 0.174
0.200, -0.700, 0.267, -1.046, 0.169
0.300, -0.700, 0.302, -0.697, 0.175
-0.300, -0.600, -0.236, -0.612, 0.198
-0.200, -0.600, -0.295, -0.734, 0.182
-0.100, -0.600, -0.153, -0.781, 0.182
0.000, -0.600, -0.009, -1.117, 0.185
0.100, -0.600, 0.152, -0.906, 0.179
0.200, -0.600, 0.267, -0.826, 0.179
0.300, -0.600, 0.446, -0.736, 0.184
-0.300, -0.500, -0.253, -0.595, 0.187
-0.200, -0.500, -0.119, -0.630, 0.194
-0.100, -0.500, -0.332, -0.655, 0.181
0.000, -0.500, 0.003, -0.979, 0.184
0.100, -0.500, 0.157, -0.671, 0.180
0.200, -0.500, 0.383, -0.582, 0.170
0.300, -0.500, 0.476, -0.505, 0.197
-0.300, -0.400, -0.338, -0.554, 0.190
-0.200, -0.400, -0.408, -0.373, 0.186
-0.100, -0.400, -0.244, -0.497, 0.190
0.000, -0.400, -0.004, -0.831, 0.186
0.100, -0.400, 0.304, -0.532, 0.182
0.200, -0.400, 0.393, -0.511, 0.183
0.300, -0.400, 0.497, -0.466, 0.180
-0.300, -0.300, -0.447, -0.444, 0.171
-0.200, -0.300, -0.446, -0.303, 0.189
-0.100, -0.300, -0.346, -0.411, 0.181
0.000, -0.300, -0.004, -0.666, 0.189
0.100, -0.300, 0.272, -0.525, 0.189
0.200, -0.300, 0.445, -0.392, 0.180
0.300, -0.300, 0.496, -0.361, 0.185
-0.300, -0.200, -0.647, -0.266, 0.191
-0.200, -0.200, -0.481, -0.273, 0.194
-0.100, -0.200, -0.338, -0.392, 0.193
0.000, -0.200, -0.013, -0.485, 0.192
0.100, -0.200, 0.132, -0.367, 0.191
0.200, -0.200, 0.200, -0.287, 0.198
0.300, -0.200, 0.550, -0.372, 0.190
-0.300, -0.100, -0.647, -0.138, 0.180
-0.200, -0.100, -0.472, -0.134, 0.187
-0.100, -0.100, -0.239, -0.181, 0.194
0.000, -0.100, -0.006, -0.251, 0.195
0.100, -0.100, 0.189, -0.201, 0.196
0.200, -0.100, 0.332, -0.191, 0.195
0.300, -0.100, 0.522, -0.225, 0.188
-0.300, -0.000, -0.563, -0.004, 0.180
-0.200, -0.000, -0.469, 0.030, 0.185
-0.100, -0.000, -0.247, 0.039, 0.188
0.000, -0.000, 0.002, 0.038, 0.189
0.100, -0.000, 0.242, 0.013, 0.188
0.200, -0.000, 0.460, -0.045, 0.187
0.300, -0.000, 0.546, -0.055, 0.185
-0.300, 0.100, -0.665, 0.223, 0.173
-0.200, 0.100, -0.503, 0.217, 0.180
-0.100, 0.100, -0.248, 0.257, 0.183
0.000, 0.100, 0.015, 0.282, 0.179
0.100, 0.100, 0.315, 0.227, 0.182
0.200, 0.100, 0.522, 0.129, 0.179
0.300, 0.100, 0.659, 0.070, 0.175
-0.300, 0.200, -0.643, 0.233, 0.169
-0.200, 0.200, -0.523, 0.367, 0.175
-0.100, 0.200, -0.269, 0.448, 0.174
0.000, 0.200, 0.037, 0.479, 0.171
0.100, 0.200, 0.368, 0.360, 0.175
0.200, 0.200, 0.553, 0.265, 0.174
0.300, 0.200, 0.486, 0.327, 0.169
-0.300, 0.300, -0.486, 0.351, 0.184
-0.200, 0.300, -0.452, 0.417, 0.171
-0.100, 0.300, -0.320, 0.434, 0.168
0.000, 0.300, 0.052, 0.663, 0.159
0.100, 0.300, 0.372, 0.311, 0.166
0.200, 0.300, 0.537, 0.237, 0.170
0.300, 0.300, 0.499, 0.345, 0.171
-0.300, 0.400, -0.651, 0.400, 0.173
-0.200, 0.400, -0.395, 0.456, 0.191
-0.100, 0.400, -0.292, 0.482, 0.161
0.000, 0.400, 0.082, 0.816, 0.150
0.100, 0.400, 0.380, 0.382, 0.158
0.200, 0.400, 0.520, 0.295, 0.167
0.300, 0.400, 0.483, 0.415, 0.177
-0.300, 0.500, -0.478, 0.630, 0.169
-0.200, 0.500, -0.463, 0.483, 0.152
-0.100, 0.500, -0.282, 0.661, 0.157
0.000, 0.500, 0.085, 0.984, 0.141
0.100, 0.500, 0.199, 0.565, 0.163
0.200, 0.500, 0.327, 0.463, 0.169
0.300, 0.500, 0.371, 0.531, 0.170
-0.300, 0.600, -0.229, 0.730, 0.169
-0.200, 0.600, -0.277, 0.896, 0.161
-0.100, 0.600, -0.195, 0.884, 0.157
0.000, 0.600, 0.102, 1.128, 0.136
0.100, 0.600, 0.183, 0.854, 0.159
0.200, 0.600, 0.302, 0.641, 0.173
0.300, 0.600, 0.346, 0.598, 0.170
-0.300, 0.700, -0.557, 0.734, 0.153
-0.200, 0.700, -0.206, 1.152, 0.152
-0.100, 0.700, -0.138, 1.332, 0.130
0.000, 0.700, 0.091, 1.298, 0.131
0.100, 0.700, 0.109, 1.115, 0.147
0.200, 0.700, 0.235, 0.930, 0.166
0.300, 0.700, 0.328, 0.684, 0.170
-0.300, 0.800, -0.353, 0.991, 0.155
-0.200, 0.800, 0.323, 1.127, 0.155
-0.100, 0.800, -0.080, 1.374, 0.140
0.000, 0.800, 0.024, 1.397, 0.146
0.100, 0.800, 0.174, 1.251, 0.146
0.200, 0.800, 0.162, 0.860, 0.165
0.300, 0.800, 0.247, 0.555, 0.142
-0.300, 0.900, -0.393, 1.119, 0.153
-0.200, 0.900, -0.109, 1.422, 0.143
-0.100, 0.900, -0.072, 1.568, 0.143
0.000, 0.900, 0.113, 1.560, 0.145
0.100, 0.900, 0.147, 1.425, 0.144
0.200, 0.900, 0.317, 1.253, 0.142
0.300, 0.900, 0.253, 0.570, 0.137
-0.300, 1.000, -0.101, 1.497, 0.138
-0.200, 1.000, -0.020, 1.646, 0.134
-0.100, 1.000, 0.022, 1.677, 0.136
0.000, 1.000, 0.166, 1.725, 0.140
0.100, 1.000, 0.138, 1.572, 0.140
0.200, 1.000, 0.171, 1.358, 0.150
0.300, 1.000, 0.170, 1.009, 0.153
