k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-1.0,-1.0,-1.289767,-0.027488,0.042531
-0.9,-1.0,-1.427086,-0.187204,0.151774
-0.8,-1.0,-1.483624,-0.113565,0.043836
-0.7,-1.0,-1.33741,-0.325121,0.158395
-0.6,-1.0,-1.098906,-0.961968,0.119699
-0.5,-1.0,-1.011772,-0.784803,0.140105
-0.4,-1.0,-0.689886,-0.803319,0.169103
-0.3,-1.0,-0.547911,-0.899225,0.143752
-0.2,-1.0,-0.437549,-0.991841,0.140706
-0.1,-1.0,-0.342989,-1.264039,0.12997
0.0,-1.0,-0.195391,-1.535428,0.104618
0.1,-1.0,0.108305,-1.79574,0.037848
0.2,-1.0,0.561196,-1.682402,0.039568
0.3,-1.0,0.676568,-1.597678,0.046079
0.4,-1.0,0.915172,-1.437176,0.097069
0.5,-1.0,1.119586,-1.192862,0.038367
0.6,-1.0,1.219578,-1.156139,0.040176
0.7,-1.0,1.198925,-0.627596,0.106559
0.8,-1.0,1.415353,-0.818909,0.079478
0.9,-1.0,1.251579,-0.347504,0.09877
1.0,-1.0,1.518017,-0.234599,0.070328
-1.0,-0.9,-0.999597,-0.217684,0.179831
-0.9,-0.9,-0.681585,-0.520293,0.038837
-0.8,-0.9,-1.290992,-0.318163,0.128667
-0.7,-0.9,-1.380948,-0.497445,0.142357
-0.6,-0.9,-1.073058,-0.782297,0.141079
-0.5,-0.9,-0.926144,-0.73705,0.151978
-0.4,-0.9,-0.60691,-0.796889,0.126141
-0.3,-0.9,-0.520663,-0.791777,0.14685
-0.2,-0.9,-0.371005,-0.872467,0.139829
-0.1,-0.9,-0.249227,-1.107356,0.130587
0.0,-0.9,-0.15597,-1.334452,0.108528
0.1,-0.9,0.057968,-1.571198,0.047066
0.2,-0.9,0.49344,-1.400684,0.044889
0.3,-0.9,0.564917,-1.366196,0.041908
0.4,-0.9,0.707204,-0.954763,0.042173
0.5,-0.9,0.95593,-0.750457,0.078881
0.6,-0.9,0.928778,-0.846296,0.063002
0.7,-0.9,1.066594,-0.928324,0.045527
0.8,-0.9,1.378915,-0.830738,0.04182
0.9,-0.9,1.219906,-0.251847,0.039067
1.0,-0.9,1.517632,0.024715,0.052864
-1.0,-0.8,-1.150839,-0.485722,0.139087
-0.9,-0.8,-1.301588,-0.525036,0.133783
-0.8,-0.8,-1.258937,-0.512119,0.111694
-0.7,-0.8,-1.189071,-0.552091,0.127606
-0.6,-0.8,-1.048416,-0.685345,0.135248
-0.5,-0.8,-0.799958,-0.724507,0.126565
-0.4,-0.8,-0.663914,-0.700337,0.150401
-0.3,-0.8,-0.407912,-0.598442,0.127944
-0.2,-0.8,-0.287826,-0.707994,0.137062
-0.1,-0.8,-0.207444,-0.894662,0.125262
0.0,-0.8,-0.115712,-1.257644,0.103168
0.1,-0.8,0.199012,-1.377319,0.038835
0.2,-0.8,0.423668,-1.203542,0.067836
0.3,-0.8,0.549317,-1.160758,0.045284
0.4,-0.8,0.690185,-1.027299,0.04655
0.5,-0.8,0.831556,-0.826117,0.052794
0.6,-0.8,1.001557,-0.893883,0.085982
0.7,-0.8,1.129852,-0.763158,0.041029
0.8,-0.8,1.391571,-0.639955,0.040785
0.9,-0.8,1.5926,-0.21036,0.075692
1.0,-0.8,1.45396,-0.470947,0.046819
-1.0,-0.7,-1.187909,-0.315029,0.148725
-0.9,-0.7,-1.456722,-0.617763,0.031739
-0.8,-0.7,-1.179091,-0.518275,0.145059
-0.7,-0.7,-1.095845,-0.763924,0.109866
-0.6,-0.7,-1.025359,-0.563539,0.118819
-0.5,-0.7,-0.859732,-0.615784,0.131419
-0.4,-0.7,-0.598492,-0.62129,0.133656
-0.3,-0.7,-0.426046,-0.55429,0.132202
-0.2,-0.7,-0.255349,-0.583701,0.131804
-0.1,-0.7,-0.161253,-0.719838,0.130327
0.0,-0.7,-0.088367,-1.045781,0.104863
0.1,-0.7,0.143519,-1.246568,0.046157
0.2,-0.7,0.38415,-1.067842,0.045147
0.3,-0.7,0.514497,-0.938922,0.044619
0.4,-0.7,0.634388,-0.873782,0.047072
0.5,-0.7,0.785989,-0.72044,0.051891
0.6,-0.7,1.075213,-0.732678,0.041281
0.7,-0.7,1.098935,-0.660915,0.047695
