Time (s),kx,ky,posX,posY,posZ
2.000, -0.200, -0.500, 0.000, 0.000, 0.250
2.020, -0.200, -0.500, 0.000, 0.000, 0.238
2.040, -0.200, -0.500, 0.001, 0.000, 0.226
2.060, -0.200, -0.500, 0.001, -0.001, 0.214
2.080, -0.200, -0.500, 0.000, -0.002, 0.205
2.100, -0.200, -0.500, -0.001, -0.004, 0.198
2.120, -0.200, -0.500, -0.003, -0.006, 0.196
2.140, -0.200, -0.500, -0.006, -0.009, 0.198
2.160, -0.200, -0.500, -0.008, -0.012, 0.202
2.180, -0.200, -0.500, -0.010, -0.015, 0.206
2.200, -0.200, -0.500, -0.011, -0.017, 0.210
2.220, -0.200, -0.500, -0.013, -0.019, 0.213
2.240, -0.200, -0.500, -0.013, -0.020, 0.211
2.260, -0.200, -0.500, -0.014, -0.021, 0.206
2.280, -0.200, -0.500, -0.013, -0.023, 0.198
2.300, -0.200, -0.500, -0.013, -0.026, 0.191
2.320, -0.200, -0.500, -0.012, -0.030, 0.184
2.340, -0.200, -0.500, -0.012, -0.036, 0.180
2.360, -0.200, -0.500, -0.014, -0.044, 0.176
2.380, -0.200, -0.500, -0.016, -0.052, 0.173
2.400, -0.200, -0.500, -0.020, -0.063, 0.172
2.420, -0.200, -0.500, -0.025, -0.074, 0.172
2.440, -0.200, -0.500, -0.032, -0.086, 0.172
2.460, -0.200, -0.500, -0.038, -0.099, 0.171
2.480, -0.200, -0.500, -0.045, -0.112, 0.170
2.500, -0.200, -0.500, -0.052, -0.124, 0.168
2.520, -0.200, -0.500, -0.058, -0.136, 0.166
2.540, -0.200, -0.500, -0.064, -0.146, 0.164
2.560, -0.200, -0.500, -0.068, -0.154, 0.161
2.580, -0.200, -0.500, -0.072, -0.161, 0.158
2.600, -0.200, -0.500, -0.075, -0.166, 0.155
2.620, -0.200, -0.500, -0.079, -0.169, 0.153
2.640, -0.200, -0.500, -0.082, -0.171, 0.153
2.660, -0.200, -0.500, -0.086, -0.172, 0.152
2.680, -0.200, -0.500, -0.090, -0.171, 0.153
2.700, -0.200, -0.500, -0.094, -0.169, 0.156
2.720, -0.200, -0.500, -0.098, -0.167, 0.160
2.740, -0.200, -0.500, -0.102, -0.164, 0.164
2.760, -0.200, -0.500, -0.105, -0.160, 0.168
2.780, -0.200, -0.500, -0.108, -0.156, 0.171
2.800, -0.200, -0.500, -0.111, -0.152, 0.175
2.820, -0.200, -0.500, -0.113, -0.147, 0.178
2.840, -0.200, -0.500, -0.115, -0.141, 0.182
2.860, -0.200, -0.500, -0.117, -0.136, 0.187
2.880, -0.200, -0.500, -0.119, -0.131, 0.191
2.900, -0.200, -0.500, -0.119, -0.125, 0.190
2.920, -0.200, -0.500, -0.118, -0.120, 0.187
2.940, -0.200, -0.500, -0.117, -0.116, 0.183
2.960, -0.200, -0.500, -0.117, -0.114, 0.179
2.980, -0.200, -0.500, -0.117, -0.116, 0.175
3.000, -0.200, -0.500, -0.119, -0.119, 0.173
3.020, -0.200, -0.500, -0.123, -0.125, 0.173
3.040, -0.200, -0.500, -0.128, -0.133, 0.174
3.060, -0.200, -0.500, -0.135, -0.142, 0.175
3.080, -0.200, -0.500, -0.142, -0.153, 0.177
3.100, -0.200, -0.500, -0.150, -0.165, 0.179
3.120, -0.200, -0.500, -0.157, -0.178, 0.180
3.140, -0.200, -0.500, -0.164, -0.192, 0.180
3.160, -0.200, -0.500, -0.169, -0.206, 0.179
3.180, -0.200, -0.500, -0.173, -0.219, 0.178
3.200, -0.200, -0.500, -0.176, -0.231, 0.177
3.220, -0.200, -0.500, -0.178, -0.241, 0.175
3.240, -0.200, -0.500, -0.179, -0.250, 0.174
3.260, -0.200, -0.500, -0.177, -0.256, 0.173
3.280, -0.200, -0.500, -0.176, -0.260, 0.173
3.300, -0.200, -0.500, -0.173, -0.263, 0.174
3.320, -0.200, -0.500, -0.170, -0.263, 0.176
3.340, -0.200, -0.500, -0.166, -0.262, 0.177
3.360, -0.200, -0.500, -0.163, -0.259, 0.179
3.380, -0.200, -0.500, -0.159, -0.256, 0.181
3.400, -0.200, -0.500, -0.156, -0.252, 0.184
3.420, -0.200, -0.500, -0.152, -0.247, 0.188
3.440, -0.200, -0.500, -0.148, -0.243, 0.191
3.460, -0.200, -0.500, -0.145, -0.238, 0.194
3.480, -0.200, -0.500, -0.142, -0.234, 0.197
3.500, -0.200, -0.500, -0.139, -0.230, 0.201
3.520, -0.200, -0.500, -0.137, -0.226, 0.205
3.540, -0.200, -0.500, -0.135, -0.222, 0.207
3.560, -0.200, -0.500, -0.134, -0.219, 0.205
3.580, -0.200, -0.500, -0.134, -0.217, 0.198
3.600, -0.200, -0.500, -0.134, -0.217, 0.190
3.620, -0.200, -0.500, -0.135, -0.219, 0.181
3.640, -0.200, -0.500, -0.138, -0.224, 0.174
3.660, -0.200, -0.500, -0.142, -0.230, 0.169
3.680, -0.200, -0.500, -0.148, -0.238, 0.167
3.700, -0.200, -0.500, -0.155, -0.247, 0.167
3.720, -0.200, -0.500, -0.164, -0.257, 0.167
3.740, -0.200, -0.500, -0.174, -0.268, 0.168
3.760, -0.200, -0.500, -0.185, -0.279, 0.169
3.780, -0.200, -0.500, -0.196, -0.291, 0.168
3.800, -0.200, -0.500, -0.208, -0.302, 0.166
3.820, -0.200, -0.500, -0.220, -0.313, 0.162
