Time (s),kx,ky,posX,posY,posZ
2.000, -0.500, -0.500, 0.000, 0.000, 0.175
2.020, -0.500, -0.500, -0.000, 0.001, 0.163
2.040, -0.500, -0.500, -0.002, 0.001, 0.148
2.060, -0.500, -0.500, -0.004, 0.001, 0.129
2.080, -0.500, -0.500, -0.007, -0.000, 0.108
2.100, -0.500, -0.500, -0.011, -0.002, 0.091
2.120, -0.500, -0.500, -0.014, -0.004, 0.078
2.140, -0.500, -0.500, -0.019, -0.008, 0.072
2.160, -0.500, -0.500, -0.023, -0.012, 0.070
2.180, -0.500, -0.500, -0.026, -0.014, 0.074
2.200, -0.500, -0.500, -0.027, -0.017, 0.082
2.220, -0.500, -0.500, -0.027, -0.019, 0.090
2.240, -0.500, -0.500, -0.026, -0.020, 0.094
2.260, -0.500, -0.500, -0.025, -0.020, 0.093
2.280, -0.500, -0.500, -0.025, -0.023, 0.089
2.300, -0.500, -0.500, -0.025, -0.027, 0.084
2.320, -0.500, -0.500, -0.027, -0.035, 0.078
2.340, -0.500, -0.500, -0.033, -0.046, 0.074
2.360, -0.500, -0.500, -0.042, -0.059, 0.071
2.380, -0.500, -0.500, -0.053, -0.074, 0.068
2.400, -0.500, -0.500, -0.067, -0.090, 0.066
2.420, -0.500, -0.500, -0.080, -0.106, 0.064
2.440, -0.500, -0.500, -0.090, -0.122, 0.061
2.460, -0.500, -0.500, -0.099, -0.137, 0.057
2.480, -0.500, -0.500, -0.105, -0.150, 0.050
2.500, -0.500, -0.500, -0.108, -0.161, 0.042
2.520, -0.500, -0.500, -0.108, -0.169, 0.034
2.540, -0.500, -0.500, -0.107, -0.173, 0.032
2.560, -0.500, -0.500, -0.104, -0.174, 0.031
2.580, -0.500, -0.500, -0.101, -0.174, 0.031
2.600, -0.500, -0.500, -0.099, -0.173, 0.031
2.620, -0.500, -0.500, -0.098, -0.172, 0.033
2.640, -0.500, -0.500, -0.098, -0.170, 0.037
2.660, -0.500, -0.500, -0.097, -0.168, 0.040
2.680, -0.500, -0.500, -0.097, -0.165, 0.042
2.700, -0.500, -0.500, -0.097, -0.162, 0.044
2.720, -0.500, -0.500, -0.097, -0.159, 0.046
2.740, -0.500, -0.500, -0.097, -0.156, 0.047
2.760, -0.500, -0.500, -0.098, -0.152, 0.049
2.780, -0.500, -0.500, -0.098, -0.148, 0.050
2.800, -0.500, -0.500, -0.097, -0.145, 0.053
2.820, -0.500, -0.500, -0.097, -0.142, 0.056
2.840, -0.500, -0.500, -0.096, -0.138, 0.061
2.860, -0.500, -0.500, -0.094, -0.134, 0.066
2.880, -0.500, -0.500, -0.092, -0.130, 0.071
2.900, -0.500, -0.500, -0.091, -0.124, 0.071
2.920, -0.500, -0.500, -0.092, -0.118, 0.068
2.940, -0.500, -0.500, -0.097, -0.113, 0.063
2.960, -0.500, -0.500, -0.104, -0.111, 0.057
2.980, -0.500, -0.500, -0.112, -0.112, 0.053
3.000, -0.500, -0.500, -0.119, -0.114, 0.052
3.020, -0.500, -0.500, -0.126, -0.117, 0.054
3.040, -0.500, -0.500, -0.131, -0.120, 0.060
3.060, -0.500, -0.500, -0.137, -0.124, 0.068
3.080, -0.500, -0.500, -0.143, -0.127, 0.078
3.100, -0.500, -0.500, -0.150, -0.131, 0.088
3.120, -0.500, -0.500, -0.159, -0.134, 0.097
3.140, -0.500, -0.500, -0.169, -0.139, 0.105
3.160, -0.500, -0.500, -0.180, -0.144, 0.112
3.180, -0.500, -0.500, -0.192, -0.149, 0.117
3.200, -0.500, -0.500, -0.203, -0.156, 0.121
3.220, -0.500, -0.500, -0.214, -0.163, 0.124
3.240, -0.500, -0.500, -0.223, -0.171, 0.126
3.260, -0.500, -0.500, -0.232, -0.178, 0.128
3.280, -0.500, -0.500, -0.239, -0.185, 0.129
3.300, -0.500, -0.500, -0.246, -0.192, 0.129
3.320, -0.500, -0.500, -0.251, -0.198, 0.129
3.340, -0.500, -0.500, -0.255, -0.203, 0.128
3.360, -0.500, -0.500, -0.259, -0.207, 0.126
3.380, -0.500, -0.500, -0.263, -0.211, 0.124
3.400, -0.500, -0.500, -0.266, -0.214, 0.121
3.420, -0.500, -0.500, -0.270, -0.217, 0.118
3.440, -0.500, -0.500, -0.273, -0.220, 0.114
3.460, -0.500, -0.500, -0.277, -0.224, 0.111
3.480, -0.500, -0.500, -0.280, -0.228, 0.108
3.500, -0.500, -0.500, -0.283, -0.233, 0.104
3.520, -0.500, -0.500, -0.285, -0.239, 0.102
3.540, -0.500, -0.500, -0.285, -0.243, 0.104
3.560, -0.500, -0.500, -0.285, -0.248, 0.104
3.580, -0.500, -0.500, -0.286, -0.253, 0.099
3.600, -0.500, -0.500, -0.288, -0.258, 0.090
3.620, -0.500, -0.500, -0.293, -0.265, 0.081
3.640, -0.500, -0.500, -0.300, -0.273, 0.073
3.660, -0.500, -0.500, -0.309, -0.283, 0.067
3.680, -0.500, -0.500, -0.321, -0.295, 0.062
3.700, -0.500, -0.500, -0.334, -0.308, 0.058
3.720, -0.500, -0.500, -0.346, -0.321, 0.055
3.740, -0.500, -0.500, -0.357, -0.333, 0.053
3.760, -0.500, -0.500, -0.365, -0.343, 0.051
3.780, -0.500, -0.500, -0.370, -0.351, 0.048
3.800, -0.500, -0.500, -0.375, -0.357, 0.044
3.820, -0.500, -0.500, -0.377, -0.360, 0.040
3.840, -0.500, -0.500, -0.377, -0.362, 0.038
3.860, -0.500, -0.500, -0.379, -0.362, 0.036
3.880, -0.500, -0.500, -0.383, -0.361, 0.035
3.900, -0.500, -0.500, -0.387, -0.358, 0.033
3.920, -0.500, -0.500, -0.388, -0.355, 0.035
3.940, -0.500, -0.500, -0.388, -0.352, 0.037
3.960, -0.500, -0.500, -0.389, -0.348, 0.040
3.980, -0.500, -0.500, -0.389, -0.344, 0.043
4.000, -0.500, -0.500, -0.389, -0.340, 0.046
4.020, -0.500, -0.500, -0.389, -0.336, 0.049
4.040, -0.500, -0.500, -0.389, -0.333, 0.052
4.060, -0.500, -0.500, -0.388, -0.330, 0.054
4.080, -0.500, -0.500, -0.387, -0.328, 0.057
4.100, -0.500, -0.500, -0.386, -0.326, 0.060
4.120, -0.500, -0.500, -0.385, -0.324, 0.064
4.140, -0.500, -0.500, -0.384, -0.323, 0.068
4.160, -0.500, -0.500, -0.382, -0.321, 0.072
4.180, -0.500, -0.500, -0.379, -0.318, 0.078
4.200, -0.500, -0.500, -0.376, -0.314, 0.080
4.220, -0.500, -0.500, -0.376, -0.310, 0.080
4.240, -0.500, -0.500, -0.379, -0.308, 0.078
4.260, -0.500, -0.500, -0.386, -0.308, 0.075
4.280, -0.500, -0.500, -0.394, -0.310, 0.073
4.300, -0.500, -0.500, -0.403, -0.314, 0.075
