Time (s),kx,ky,posX,posY,posZ
2.000, -0.500, -0.500, 0.000, 0.000, 0.175
2.020, -0.500, -0.500, -0.001, 0.001, 0.163
2.040, -0.500, -0.500, -0.001, 0.001, 0.150
2.060, -0.500, -0.500, -0.002, 0.001, 0.137
2.080, -0.500, -0.500, -0.005, -0.000, 0.127
2.100, -0.500, -0.500, -0.011, -0.003, 0.120
2.120, -0.500, -0.500, -0.017, -0.005, 0.117
2.140, -0.500, -0.500, -0.024, -0.009, 0.117
2.160, -0.500, -0.500, -0.031, -0.012, 0.118
2.180, -0.500, -0.500, -0.037, -0.017, 0.120
2.200, -0.500, -0.500, -0.043, -0.021, 0.121
2.220, -0.500, -0.500, -0.049, -0.025, 0.124
2.240, -0.500, -0.500, -0.052, -0.028, 0.123
2.260, -0.500, -0.500, -0.053, -0.031, 0.117
2.280, -0.500, -0.500, -0.051, -0.035, 0.111
2.300, -0.500, -0.500, -0.049, -0.041, 0.104
2.320, -0.500, -0.500, -0.048, -0.050, 0.099
2.340, -0.500, -0.500, -0.050, -0.063, 0.094
2.360, -0.500, -0.500, -0.056, -0.078, 0.090
2.380, -0.500, -0.500, -0.065, -0.097, 0.086
2.400, -0.500, -0.500, -0.077, -0.117, 0.082
2.420, -0.500, -0.500, -0.090, -0.137, 0.078
2.440, -0.500, -0.500, -0.102, -0.156, 0.074
2.460, -0.500, -0.500, -0.112, -0.172, 0.071
2.480, -0.500, -0.500, -0.119, -0.184, 0.066
2.500, -0.500, -0.500, -0.123, -0.193, 0.062
2.520, -0.500, -0.500, -0.123, -0.197, 0.057
2.540, -0.500, -0.500, -0.119, -0.198, 0.053
2.560, -0.500, -0.500, -0.113, -0.196, 0.050
2.580, -0.500, -0.500, -0.104, -0.193, 0.049
2.600, -0.500, -0.500, -0.101, -0.192, 0.052
2.620, -0.500, -0.500, -0.096, -0.189, 0.055
2.640, -0.500, -0.500, -0.087, -0.187, 0.058
2.660, -0.500, -0.500, -0.077, -0.185, 0.059
2.680, -0.500, -0.500, -0.068, -0.184, 0.060
2.700, -0.500, -0.500, -0.061, -0.183, 0.061
2.720, -0.500, -0.500, -0.054, -0.183, 0.061
2.740, -0.500, -0.500, -0.049, -0.183, 0.062
2.760, -0.500, -0.500, -0.045, -0.183, 0.063
2.780, -0.500, -0.500, -0.042, -0.183, 0.065
2.800, -0.500, -0.500, -0.040, -0.183, 0.067
2.820, -0.500, -0.500, -0.039, -0.181, 0.070
2.840, -0.500, -0.500, -0.037, -0.179, 0.074
2.860, -0.500, -0.500, -0.035, -0.175, 0.080
2.880, -0.500, -0.500, -0.034, -0.170, 0.085
2.900, -0.500, -0.500, -0.036, -0.162, 0.087
2.920, -0.500, -0.500, -0.041, -0.151, 0.084
2.940, -0.500, -0.500, -0.047, -0.140, 0.079
2.960, -0.500, -0.500, -0.052, -0.131, 0.073
2.980, -0.500, -0.500, -0.053, -0.124, 0.069
3.000, -0.500, -0.500, -0.053, -0.122, 0.069
3.020, -0.500, -0.500, -0.057, -0.120, 0.073
3.040, -0.500, -0.500, -0.064, -0.118, 0.078
3.060, -0.500, -0.500, -0.073, -0.114, 0.085
3.080, -0.500, -0.500, -0.083, -0.111, 0.092
3.100, -0.500, -0.500, -0.092, -0.107, 0.100
3.120, -0.500, -0.500, -0.101, -0.103, 0.108
3.140, -0.500, -0.500, -0.110, -0.099, 0.116
3.160, -0.500, -0.500, -0.117, -0.095, 0.122
3.180, -0.500, -0.500, -0.124, -0.092, 0.128
3.200, -0.500, -0.500, -0.130, -0.089, 0.133
3.220, -0.500, -0.500, -0.135, -0.087, 0.136
3.240, -0.500, -0.500, -0.140, -0.085, 0.139
3.260, -0.500, -0.500, -0.143, -0.084, 0.141
3.280, -0.500, -0.500, -0.146, -0.084, 0.142
3.300, -0.500, -0.500, -0.148, -0.083, 0.142
3.320, -0.500, -0.500, -0.149, -0.082, 0.142
3.340, -0.500, -0.500, -0.151, -0.082, 0.140
3.360, -0.500, -0.500, -0.152, -0.081, 0.139
3.380, -0.500, -0.500, -0.153, -0.081, 0.136
3.400, -0.500, -0.500, -0.154, -0.082, 0.134
3.420, -0.500, -0.500, -0.155, -0.083, 0.131
3.440, -0.500, -0.500, -0.156, -0.084, 0.128
3.460, -0.500, -0.500, -0.157, -0.087, 0.125
3.480, -0.500, -0.500, -0.158, -0.090, 0.121
3.500, -0.500, -0.500, -0.159, -0.094, 0.118
3.520, -0.500, -0.500, -0.159, -0.099, 0.115
3.540, -0.500, -0.500, -0.156, -0.106, 0.109
3.560, -0.500, -0.500, -0.155, -0.114, 0.105
3.580, -0.500, -0.500, -0.154, -0.122, 0.098
3.600, -0.500, -0.500, -0.155, -0.130, 0.088
3.620, -0.500, -0.500, -0.158, -0.138, 0.077
3.640, -0.500, -0.500, -0.163, -0.146, 0.065
3.660, -0.500, -0.500, -0.170, -0.155, 0.053
3.680, -0.500, -0.500, -0.175, -0.164, 0.044
3.700, -0.500, -0.500, -0.176, -0.168, 0.045
3.720, -0.500, -0.500, -0.181, -0.167, 0.051
3.740, -0.500, -0.500, -0.190, -0.168, 0.057
3.760, -0.500, -0.500, -0.201, -0.168, 0.060
3.780, -0.500, -0.500, -0.212, -0.168, 0.061
3.800, -0.500, -0.500, -0.223, -0.169, 0.060
3.820, -0.500, -0.500, -0.234, -0.171, 0.058
3.840, -0.500, -0.500, -0.240, -0.174, 0.055
3.860, -0.500, -0.500, -0.241, -0.175, 0.054
3.880, -0.500, -0.500, -0.244, -0.176, 0.054
3.900, -0.500, -0.500, -0.249, -0.176, 0.055
3.920, -0.500, -0.500, -0.255, -0.176, 0.055
3.940, -0.500, -0.500, -0.260, -0.175, 0.055
3.960, -0.500, -0.500, -0.263, -0.175, 0.055
3.980, -0.500, -0.500, -0.265, -0.174, 0.055
4.000, -0.500, -0.500, -0.268, -0.172, 0.055
4.020, -0.500, -0.500, -0.271, -0.170, 0.056
4.040, -0.500, -0.500, -0.272, -0.167, 0.060
4.060, -0.500, -0.500, -0.273, -0.164, 0.064
4.080, -0.500, -0.500, -0.272, -0.162, 0.068
4.100, -0.500, -0.500, -0.271, -0.159, 0.072
4.120, -0.500, -0.500, -0.270, -0.157, 0.076
4.140, -0.500, -0.500, -0.268, -0.154, 0.081
4.160, -0.500, -0.500, -0.266, -0.152, 0.087
4.180, -0.500, -0.500, -0.264, -0.149, 0.093
4.200, -0.500, -0.500, -0.261, -0.145, 0.097
4.220, -0.500, -0.500, -0.259, -0.141, 0.096
4.240, -0.500, -0.500, -0.259, -0.138, 0.092
4.260, -0.500, -0.500, -0.262, -0.137, 0.087
4.280, -0.500, -0.500, -0.268, -0.139, 0.084
4.300, -0.500, -0.500, -0.276, -0.142, 0.083
4.320, -0.500, -0.500, -0.285, -0.146, 0.085
4.340, -0.500, -0.500, -0.294, -0.151, 0.090
