Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1,0,0,0,0,0,0
1.01,0.524,0,0,-0.112,0.004,-0.098
1.02,0.916,0,0,-0.237,0.005,-0.139
1.03,1.014,0,0,-0.265,0.002,-0.151
1.04,1.039,0,0,-0.271,-0.001,-0.154
1.05,1.045,0,0,-0.271,-0.004,-0.155
1.06,1.047,0,0,-0.272,-0.007,-0.156
1.07,1.047,0,0,-0.272,-0.011,-0.157
1.08,1.047,0,0,-0.271,-0.014,-0.157
1.09,1.047,0,0,-0.271,-0.017,-0.157
1.1,1.047,0,0,-0.271,-0.02,-0.157
1.11,1.047,0,0,-0.271,-0.024,-0.156
1.12,1.047,0,0,-0.27,-0.027,-0.156
1.13,1.047,0,0,-0.27,-0.03,-0.156
1.14,1.047,0,0,-0.27,-0.034,-0.156
1.15,1.047,0,0,-0.269,-0.037,-0.155
1.16,1.047,0,0,-0.269,-0.04,-0.155
1.17,1.047,0,0,-0.268,-0.043,-0.154
1.18,1.047,0,0,-0.268,-0.047,-0.155
1.19,1.047,0,0,-0.267,-0.05,-0.154
1.2,1.047,0,0,-0.267,-0.053,-0.154
1.21,1.047,0,0,-0.266,-0.056,-0.154
1.22,1.047,0,0,-0.265,-0.059,-0.153
1.23,1.047,0,0,-0.265,-0.063,-0.153
1.24,1.047,0,0,-0.264,-0.066,-0.153
1.25,1.047,0,0,-0.263,-0.069,-0.152
1.26,1.047,0,0,-0.263,-0.072,-0.152
1.27,1.047,0,0,-0.262,-0.075,-0.151
1.28,1.047,0,0,-0.261,-0.079,-0.151
1.29,1.047,0,0,-0.26,-0.082,-0.15
1.3,1.047,0,0,-0.26,-0.085,-0.15
1.31,1.047,0,0,-0.259,-0.088,-0.149
1.32,1.047,0,0,-0.258,-0.091,-0.149
1.33,1.047,0,0,-0.257,-0.094,-0.148
1.34,1.047,0,0,-0.256,-0.097,-0.148
1.35,1.047,0,0,-0.251,-0.099,-0.144
1.36,0.947,0,0,-0.22,-0.089,-0.127
1.37,0.772,0,0,-0.176,-0.074,-0.102
1.38,0.602,0,0,-0.136,-0.058,-0.078
1.39,0.458,0,0,-0.103,-0.044,-0.06
1.4,0.345,0,0,-0.077,-0.034,-0.045
1.41,0.258,0,0,-0.058,-0.025,-0.033
1.42,0.193,0,0,-0.043,-0.019,-0.024
1.43,0.143,0,0,-0.032,-0.014,-0.018
1.44,0.107,0,0,-0.024,-0.011,-0.014
1.45,0.079,0,0,-0.018,-0.008,-0.01
1.46,0.059,0,0,-0.013,-0.006,-0.008
1.47,0.044,0,0,-0.01,-0.004,-0.006
1.48,0.032,0,0,-0.007,-0.003,-0.004
1.49,0.024,0,0,-0.005,-0.002,-0.003
1.5,0.018,0,0,-0.004,-0.002,-0.003
1.51,-0.39,0,0,0.135,0.06,0.078
1.52,-0.883,0,0,0.222,0.097,0.128
1.53,-1.006,0,0,0.245,0.104,0.141
1.54,-1.037,0,0,0.252,0.103,0.145
