Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1,0,0,0,0,0,0
1.01,-0.307,0,0,0,-0.151,0.049
1.02,-0.862,0,0,0,-0.277,0.088
1.03,-1.001,0,0,0,-0.308,0.095
1.04,-1.036,0,0,0,-0.317,0.095
1.05,-1.044,0,0,0,-0.32,0.092
1.06,-1.046,0,0,0,-0.321,0.089
1.07,-1.047,0,0,0,-0.323,0.086
1.08,-1.047,0,0,0,-0.323,0.083
1.09,-1.047,0,0,0,-0.324,0.08
1.1,-1.047,0,0,0,-0.325,0.076
1.11,-1.047,0,0,0,-0.326,0.073
1.12,-1.047,0,0,0,-0.327,0.07
1.13,-1.047,0,0,0,-0.327,0.067
1.14,-1.047,0,0,0,-0.328,0.064
1.15,-1.047,0,0,0,-0.329,0.06
1.16,-1.047,0,0,0,-0.329,0.057
1.17,-1.047,0,0,0,-0.33,0.054
1.18,-1.047,0,0,0,-0.33,0.051
1.19,-1.047,0,0,0,-0.331,0.047
1.2,-1.047,0,0,0,-0.331,0.044
1.21,-1.047,0,0,0,-0.332,0.041
1.22,-1.047,0,0,0,-0.332,0.038
1.23,-1.047,0,0,0,-0.333,0.034
1.24,-1.047,0,0,0,-0.333,0.031
1.25,-1.047,0,0,0,-0.333,0.028
1.26,-1.047,0,0,0,-0.334,0.025
1.27,-1.047,0,0,0,-0.334,0.021
1.28,-1.047,0,0,0,-0.334,0.018
1.29,-1.047,0,0,0,-0.334,0.015
1.3,-1.047,0,0,0,-0.334,0.011
1.31,-1.047,0,0,0,-0.334,0.008
1.32,-1.047,0,0,0,-0.335,0.005
1.33,-1.047,0,0,0,-0.335,0.002
1.34,-1.047,0,0,0,-0.335,-0.002
1.35,-1.047,0,0,0,-0.333,-0.005
1.36,-0.98,0,0,0,-0.3,-0.007
1.37,-0.81,0,0,0,-0.244,-0.008
1.38,-0.635,0,0,0,-0.19,-0.007
1.39,-0.485,0,0,0,-0.145,-0.006
1.4,-0.366,0,0,0,-0.109,-0.005
1.41,-0.274,0,0,0,-0.081,-0.004
1.42,-0.204,0,0,0,-0.061,-0.003
1.43,-0.152,0,0,0,-0.045,-0.003
1.44,-0.113,0,0,0,-0.034,-0.002
1.45,-0.084,0,0,0,-0.025,-0.002
1.46,-0.063,0,0,0,-0.019,-0.001
1.47,-0.046,0,0,0,-0.014,-0.001
