Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1,0,0,0,0,0,0
1.01,1.047,1.047,1.047,-0.213,0.092,-0.178
1.02,1.833,1.833,1.833,-0.312,0.122,-0.327
1.03,2.029,2.029,2.029,-0.34,0.118,-0.442
1.04,2.078,2.078,2.078,-0.374,0.124,-0.526
1.05,2.09,2.09,2.09,-0.454,0.168,-0.561
1.06,2.093,2.093,2.093,-0.531,0.211,-0.595
1.07,2.094,2.094,2.094,-0.607,0.256,-0.628
1.08,2.094,2.094,2.094,-0.681,0.302,-0.661
1.09,2.094,2.094,2.094,-0.753,0.351,-0.693
1.1,2.094,2.094,2.094,-0.823,0.402,-0.724
1.11,2.094,2.094,2.094,-0.884,0.464,-0.748
1.12,1.934,1.958,1.934,-0.846,0.497,-0.72
1.13,1.591,1.923,1.591,-0.706,0.41,-0.697
1.14,1.244,1.872,1.245,-0.567,0.346,-0.665
1.15,0.95,1.805,0.95,-0.448,0.295,-0.626
1.16,0.716,1.714,0.716,-0.35,0.251,-0.582
1.17,0.536,1.601,0.536,-0.273,0.214,-0.533
1.18,0.4,1.468,0.4,-0.212,0.181,-0.482
1.19,0.298,1.322,0.298,-0.164,0.152,-0.428
1.2,0.221,1.164,0.221,-0.127,0.126,-0.372
1.21,0.165,0.998,0.165,-0.098,0.103,-0.315
1.22,0.122,0.826,0.122,-0.074,0.081,-0.258
1.23,0.091,0.649,0.091,-0.056,0.061,-0.199
1.24,0.067,0.47,0.067,-0.041,0.042,-0.14
1.25,0.05,0.287,0.05,-0.028,0.024,-0.081
1.26,0.037,0.103,0.037,-0.018,0.007,-0.022
1.27,0.028,-0.083,0.028,-0.009,-0.011,0.037
1.28,0.021,-0.27,0.021,0,-0.028,0.097
1.29,0.015,-0.46,0.015,0.007,-0.047,0.156
1.3,0.011,-0.65,0.011,0.015,-0.066,0.216
1.31,0.008,-0.842,0.008,0.023,-0.086,0.276
1.32,0.006,-1.035,0.006,0.031,-0.109,0.336
1.33,0.005,-1.221,0.005,0.037,-0.127,0.376
1.34,0.003,-1.146,0.003,0.035,-0.118,0.338
1.35,0.003,-0.949,0.003,0.029,-0.099,0.275
1.36,0.002,-0.744,0.002,0.023,-0.079,0.214
1.37,0.001,-0.569,0.001,0.018,-0.061,0.162
1.38,0.001,-0.429,0.001,0.013,-0.046,0.122
1.39,0.001,-0.321,0.001,0.01,-0.035,0.091
1.4,0.001,-0.24,0.001,0.007,-0.026,0.068
1.41,0,-0.179,0.001,0.005,-0.02,0.051
1.42,0,-0.133,0,0.004,-0.015,0.038
1.43,0,-0.099,0,0.003,-0.011,0.028
1.44,0,-0.073,0,0.002,-0.008,0.021
1.45,0,-0.054,0,0.001,-0.006,0.015
1.46,0,-0.04,0,0.001,-0.004,0.011
1.47,0,-0.03,0,0,-0.003,0.009
1.48,0,-0.022,0,0,-0.002,0.006
1.49,0,-0.017,0,0,-0.002,0.005
1.5,0,-0.012,0,0,-0.001,0.003
1.51,0,-0.009,0,0,-0.001,0.003
1.52,0,-0.007,0,0,-0.001,0.002
1.53,0,-0.005,0,0,0,0.001
1.54,0,-0.004,0,0,0,0.001
1.55,0,-0.003,0,-0.001,0,0.001
1.56,0,-0.002,0,-0.001,0,0.001
1.57,0,-0.001,0,-0.001,0,0
1.58,0,-0.001,0,-0.001,0,0
1.59,0,-0.001,0,-0.001,0,0
1.6,0,-0.001,0,-0.001,0,0
1.61,0,0,0,-0.001,0,0
1.62,0,0,0,-0.001,0,0
1.63,0,0,0,-0.001,0,0
