Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1,0,0,0,0,0,0
1.01,0,0,0,0,0,0
1.02,0,0,0,0,0,0
1.03,0,0,0,0,0,0
1.04,0,0,0,0,0,0
1.05,0,0,0,0,0,0
1.06,0,0,0,0,0,0
1.07,0,0,0,0,0,0
1.08,0,0,0,0,0,0
1.09,0,0,0,0,0,0
1.1,0,0,0,0,0,0
1.11,0,0,0,0,0,0
1.12,0,0,0,0,0,0
1.13,0,0,0,0,0,0
1.14,0,0,0,0,0,0
1.15,0,0,0,0,0,0
1.16,0,0,0,0,0,0
1.17,0,0,0,0,0,0
1.18,0,0,0,0,0,0
1.19,0,0,0,0,0,0
1.2,0,0,0,0,0,0
1.21,0,0,0,0,0,0
1.22,0,0,0,0,0,0
1.23,0,0,0,0,0,0
1.24,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.26,0,0,0,0,0,0
1.27,0,0,0,0,0,0
1.28,0,0,0,0,0,0
1.29,0,0,0,0,0,0
1.3,0,0,0,0,0,0
1.31,0,0,0,0,0,0
1.32,0,0,0,0,0,0
1.33,0,0,0,0,0,0
1.34,0,0,0,0,0,0
1.35,0,0,0,0,0,0
1.36,0,0,0,0,0,0
1.37,0,0,0,0,0,0
1.38,0,0,0,0,0,0
1.39,0,0,0,0,0,0
1.4,0,0,0,0,0,0
1.41,0,0,0,0,0,0
1.42,0,0,0,0,0,0
1.43,0,0,0,0,0,0
1.44,0,0,0,0,0,0
1.45,0,0,0,0,0,0
1.46,0,0,0,0,0,0
1.47,0,0,0,0,0,0
1.48,0,0,0,0,0,0
1.49,0,0,0,0,0,0
1.5,0,0,0,0,0,0
1.51,0.365,0,0,-0.141,-0.005,0.082
1.52,0.877,0,0,-0.239,-0.011,0.142
1.53,1.005,0,0,-0.264,-0.015,0.155
1.54,1.037,0,0,-0.27,-0.019,0.159
1.55,1.045,0,0,-0.271,-0.022,0.159
1.56,1.047,0,0,-0.272,-0.026,0.159
1.57,1.047,0,0,-0.271,-0.029,0.159
1.58,1.047,0,0,-0.271,-0.032,0.159
1.59,1.047,0,0,-0.271,-0.035,0.158
1.6,1.047,0,0,-0.271,-0.039,0.156
1.61,1.047,0,0,-0.271,-0.042,0.156
1.62,1.047,0,0,-0.27,-0.045,0.156
1.63,1.047,0,0,-0.27,-0.048,0.156
1.64,1.047,0,0,-0.27,-0.052,0.155
1.65,1.047,0,0,-0.269,-0.055,0.156
1.66,1.047,0,0,-0.269,-0.058,0.155
1.67,1.047,0,0,-0.268,-0.061,0.155
1.68,1.047,0,0,-0.268,-0.065,0.155
1.69,1.047,0,0,-0.267,-0.068,0.154
1.7,1.047,0,0,-0.267,-0.071,0.155
1.71,1.047,0,0,-0.266,-0.074,0.153
1.72,1.047,0,0,-0.266,-0.078,0.153
1.73,1.047,0,0,-0.265,-0.081,0.153
1.74,1.047,0,0,-0.264,-0.084,0.153
1.75,1.047,0,0,-0.264,-0.087,0.152
1.76,1.047,0,0,-0.263,-0.09,0.152
1.77,1.047,0,0,-0.262,-0.094,0.152
1.78,1.047,0,0,-0.261,-0.097,0.151
1.79,1.047,0,0,-0.26,-0.1,0.15
1.8,1.047,0,0,-0.26,-0.103,0.15
1.81,1.047,0,0,-0.259,-0.106,0.149
1.82,1.047,0,0,-0.258,-0.109,0.15
1.83,1.047,0,0,-0.257,-0.112,0.148
1.84,1.047,0,0,-0.256,-0.115,0.148
1.85,1.047,0,0,-0.253,-0.118,0.146
1.86,0.971,0,0,-0.226,-0.108,0.131
1.87,0.8,0,0,-0.183,-0.089,0.105
1.88,0.626,0,0,-0.142,-0.071,0.082
1.89,0.478,0,0,-0.108,-0.054,0.062
1.9,0.361,0,0,-0.081,-0.041,0.046
1.91,0.27,0,0,-0.06,-0.031,0.036
1.92,0.201,0,0,-0.045,-0.023,0.027
1.93,0.15,0,0,-0.033,-0.017,0.02
1.94,0.111,0,0,-0.025,-0.013,0.014
1.95,0.083,0,0,-0.018,-0.01,0.01
1.96,0.062,0,0,-0.014,-0.007,0.008
1.97,0.046,0,0,-0.01,-0.005,0.006
1.98,0.034,0,0,-0.008,-0.004,0.004
1.99,0.025,0,0,-0.006,-0.003,0.003
2,0.019,0,0,-0.004,-0.002,0.002
2.01,0.014,0,0,-0.003,-0.002,0.002
2.02,0.01,0,0,-0.002,-0.001,0.001
2.03,0.008,0,0,-0.002,-0.001,0.001
2.04,0.006,0,0,-0.001,-0.001,0.001
2.05,0.004,0,0,-0.001,0,0
2.06,0.003,0,0,-0.001,0,0
2.07,0.002,0,0,0,0,0
2.08,0.002,0,0,0,0,0
2.09,0.001,0,0,0,0,0
2.1,0.001,0,0,0,0,0
2.11,0.001,0,0,0,0,0
2.12,0.001,0,0,0,0,0
2.13,0,0,0,0,0,0
2.14,0,0,0,0,0,0
2.15,0,0,0,0,0,0
2.16,0,0,0,0,0,0
2.17,0,0,0,0,0,0
2.18,0,0,0,0,0,0
2.19,0,0,0,0,0,0
2.2,0,0,0,0,0,0
2.21,0,0,0,0,0,0
2.22,0,0,0,0,0,0
2.23,0,0,0,0,0,0
2.24,0,0,0,0,0,0
2.25,0,0,0,0,0,0
2.26,0,0,0,0,0,0
2.27,0,0,0,0,0,0
2.28,0,0,0,0,0,0
2.29,0,0,0,0,0,0
2.3,0,0,0,0,0,0
2.31,0,0,0,0,0,0
2.32,0,0,0,0,0,0
2.33,0,0,0,0,0,0
2.34,0,0,0,0,0,0
2.35,0,0,0,0,0,0
2.36,0,0,0,0,0,0
2.37,0,0,0,0,0,0
2.38,0,0,0,0,0,0
2.39,0,0,0,0,0,0
2.4,0,0,0,0,0,0
2.41,0,0,0,0,0,0
2.42,0,0,0,0,0,0
2.43,0,0,0,0,0,0
2.44,0,0,0,0,0,0
2.45,0,0,0,0,0,0
2.46,0,0,0,0,0,0
2.47,0,0,0,0,0,0
2.48,0,0,0,0,0,0
2.49,0,0,0,0,0,0
2.5,0,0,0,0,0,0
2.51,0,0,0,0,0,0
2.52,0,0,0,0,0,0
2.53,0,0,0,0,0,0
2.54,0,0,0,0,0,0
2.55,0,0,0,0,0,0
2.56,0,0,0,0,0,0
2.57,0,0,0,0,0,0
2.58,0,0,0,0,0,0
2.59,0,0,0,0,0,0
2.6,0,0,0,0,0,0
2.61,0,0,0,0,0,0
2.62,0,0,0,0,0,0
2.63,0,0,0,0,0,0
2.64,0,0,0,0,0,0
2.65,0,0,0,0,0,0
2.66,0,0,0,0,0,0
2.67,0,0,0,0,0,0
2.68,0,0,0,0,0,0
2.69,0,0,0,0,0,0
2.7,0,0,0,0,0,0
2.71,0,0,0,0,0,0
2.72,0,0,0,0,0,0
2.73,0,0,0,0,0,0
2.74,0,0,0,0,0,0
2.75,0,0,0,0,0,0
2.76,0,0,0,0,0,0
2.77,0,0,0,0,0,0
2.78,0,0,0,0,0,0
2.79,0,0,0,0,0,0
2.8,0,0,0,0,0,0
2.81,0,0,0,0,0,0
2.82,0,0,0,0,0,0
2.83,0,0,0,0,0,0
2.84,0,0,0,0,0,0
2.85,0,0,0,0,0,0
2.86,0,0,0,0,0,0
2.87,0,0,0,0,0,0
2.88,0,0,0,0,0,0
2.89,0,0,0,0,0,0
2.9,0,0,0,0,0,0
2.91,0,0,0,0,0,0
2.92,0,0,0,0,0,0
2.93,0,0,0,0,0,0
2.94,0,0,0,0,0,0
2.95,0,0,0,0,0,0
2.96,0,0,0,0,0,0
2.97,0,0,0,0,0,0
2.98,0,0,0,0,0,0
2.99,0,0,0,0,0,0
3,0,0,0,0,0,0
3.01,-0.523,0,0,0.108,0.071,-0.091
3.02,-0.916,0,0,0.225,0.117,-0.129
3.03,-1.014,0,0,0.246,0.123,-0.14
3.04,-1.039,0,0,0.253,0.122,-0.143
3.05,-1.045,0,0,0.255,0.119,-0.144
3.06,-1.047,0,0,0.256,0.116,-0.145
3.07,-1.047,0,0,0.257,0.113,-0.146
3.08,-1.047,0,0,0.258,0.11,-0.146
3.09,-1.047,0,0,0.259,0.107,-0.147
3.1,-1.047,0,0,0.26,0.104,-0.149
3.11,-1.047,0,0,0.26,0.101,-0.151
3.12,-1.047,0,0,0.261,0.097,-0.151
3.13,-1.047,0,0,0.262,0.094,-0.151
3.14,-1.047,0,0,0.263,0.091,-0.152
3.15,-1.047,0,0,0.263,0.088,-0.152
3.16,-1.047,0,0,0.264,0.085,-0.152
3.17,-1.047,0,0,0.265,0.081,-0.153
3.18,-1.047,0,0,0.265,0.078,-0.152
3.19,-1.047,0,0,0.266,0.075,-0.154
3.2,-1.047,0,0,0.267,0.072,-0.154
3.21,-1.047,0,0,0.267,0.069,-0.154
3.22,-1.047,0,0,0.268,0.065,-0.154
3.23,-1.047,0,0,0.268,0.062,-0.154
3.24,-1.047,0,0,0.269,0.059,-0.156
3.25,-1.047,0,0,0.269,0.056,-0.154
3.26,-1.047,0,0,0.27,0.052,-0.156
3.27,-1.047,0,0,0.27,0.049,-0.156
3.28,-1.047,0,0,0.27,0.046,-0.156
3.29,-1.047,0,0,0.271,0.043,-0.156
3.3,-1.047,0,0,0.271,0.039,-0.157
3.31,-1.047,0,0,0.271,0.036,-0.156
3.32,-1.047,0,0,0.271,0.033,-0.157
3.33,-1.047,0,0,0.272,0.029,-0.156
3.34,-1.047,0,0,0.272,0.026,-0.157
3.35,-1.047,0,0,0.272,0.023,-0.157
3.36,-1.047,0,0,0.272,0.02,-0.157
3.37,-1.047,0,0,0.272,0.016,-0.157
3.38,-1.047,0,0,0.272,0.013,-0.156
3.39,-1.047,0,0,0.272,0.01,-0.158
3.4,-1.047,0,0,0.272,0.006,-0.157
3.41,-1.047,0,0,0.272,0.003,-0.157
3.42,-1.047,0,0,0.272,0,-0.156
3.43,-1.047,0,0,0.272,-0.003,-0.157
3.44,-1.047,0,0,0.272,-0.007,-0.157
3.45,-1.047,0,0,0.272,-0.01,-0.157
3.46,-1.047,0,0,0.271,-0.013,-0.156
3.47,-1.047,0,0,0.271,-0.017,-0.157
3.48,-1.047,0,0,0.271,-0.02,-0.157
3.49,-1.047,0,0,0.271,-0.023,-0.156
3.5,-1.047,0,0,0.27,-0.026,-0.156
3.51,-0.644,0,0,0.11,-0.012,-0.063
3.52,0.185,0,0,-0.104,0.011,0.06
3.53,0.83,0,0,-0.229,0.023,0.132
3.54,0.993,0,0,-0.26,0.023,0.15
3.55,1.034,0,0,-0.268,0.02,0.155
3.56,1.044,0,0,-0.27,0.017,0.156
3.57,1.046,0,0,-0.271,0.014,0.156
3.58,1.047,0,0,-0.271,0.01,0.157
3.59,1.047,0,0,-0.272,0.007,0.157
3.6,1.047,0,0,-0.272,0.004,0.157
3.61,1.047,0,0,-0.272,0.001,0.157
3.62,1.047,0,0,-0.272,-0.003,0.157
3.63,1.047,0,0,-0.272,-0.006,0.157
3.64,1.047,0,0,-0.272,-0.009,0.157
3.65,1.047,0,0,-0.272,-0.013,0.157
3.66,1.047,0,0,-0.272,-0.016,0.157
3.67,1.047,0,0,-0.272,-0.019,0.157
3.68,1.047,0,0,-0.272,-0.022,0.157
3.69,1.047,0,0,-0.272,-0.026,0.157
3.7,1.047,0,0,-0.272,-0.029,0.157
3.71,1.047,0,0,-0.271,-0.032,0.156
3.72,1.047,0,0,-0.271,-0.036,0.156
3.73,1.047,0,0,-0.271,-0.039,0.156
3.74,1.047,0,0,-0.271,-0.042,0.156
3.75,1.047,0,0,-0.27,-0.045,0.156
3.76,1.047,0,0,-0.27,-0.049,0.156
3.77,1.047,0,0,-0.27,-0.052,0.156
3.78,1.047,0,0,-0.269,-0.055,0.155
3.79,1.047,0,0,-0.269,-0.058,0.156
3.8,1.047,0,0,-0.268,-0.062,0.154
3.81,1.047,0,0,-0.268,-0.065,0.156
3.82,1.047,0,0,-0.267,-0.068,0.154
3.83,1.047,0,0,-0.267,-0.071,0.154
3.84,1.047,0,0,-0.266,-0.075,0.153
3.85,1.047,0,0,-0.265,-0.078,0.153
3.86,1.047,0,0,-0.265,-0.081,0.153
3.87,1.047,0,0,-0.264,-0.084,0.152
3.88,1.047,0,0,-0.263,-0.087,0.153
3.89,1.047,0,0,-0.263,-0.091,0.151
3.9,1.047,0,0,-0.262,-0.094,0.151
3.91,1.047,0,0,-0.261,-0.097,0.151
3.92,1.047,0,0,-0.26,-0.1,0.151
3.93,1.047,0,0,-0.26,-0.103,0.15
3.94,1.047,0,0,-0.259,-0.106,0.149
3.95,1.047,0,0,-0.258,-0.109,0.15
3.96,1.047,0,0,-0.257,-0.113,0.148
3.97,1.047,0,0,-0.256,-0.116,0.148
3.98,1.047,0,0,-0.252,-0.117,0.145
3.99,0.956,0,0,-0.222,-0.106,0.128
4,0.783,0,0,-0.179,-0.088,0.103
4.01,-0.177,0,0,-0.02,-0.005,-0.044
4.02,-0.83,0,0,0.096,0.051,-0.125
4.03,-0.993,0,0,0.208,0.107,-0.142
4.04,-1.034,0,0,0.256,0.114,-0.146
4.05,-1.044,0,0,0.257,0.113,-0.148
4.06,-1.046,0,0,0.257,0.11,-0.149
4.07,-1.047,0,0,0.258,0.107,-0.149
4.08,-1.047,0,0,0.259,0.104,-0.15
4.09,-1.047,0,0,0.26,0.101,-0.15
4.1,-1.047,0,0,0.261,0.098,-0.151
4.11,-1.047,0,0,0.262,0.095,-0.151
4.12,-1.047,0,0,0.263,0.092,-0.152
4.13,-1.047,0,0,0.263,0.088,-0.152
4.14,-1.047,0,0,0.264,0.085,-0.153
4.15,-1.047,0,0,0.265,0.082,-0.153
4.16,-1.047,0,0,0.265,0.079,-0.153
4.17,-1.047,0,0,0.266,0.076,-0.154
4.18,-1.047,0,0,0.267,0.072,-0.154
4.19,-1.047,0,0,0.267,0.069,-0.154
4.2,-1.047,0,0,0.268,0.066,-0.155
4.21,-1.047,0,0,0.268,0.063,-0.155
4.22,-1.047,0,0,0.269,0.059,-0.155
4.23,-1.047,0,0,0.269,0.056,-0.156
4.24,-1.047,0,0,0.269,0.053,-0.156
4.25,-1.047,0,0,0.27,0.05,-0.156
4.26,-1.047,0,0,0.27,0.046,-0.156
4.27,-1.047,0,0,0.27,0.043,-0.156
4.28,-1.047,0,0,0.271,0.04,-0.157
4.29,-1.047,0,0,0.271,0.037,-0.157
4.3,-1.047,0,0,0.271,0.033,-0.157
4.31,-1.047,0,0,0.271,0.03,-0.157
4.32,-1.047,0,0,0.272,0.027,-0.157
4.33,-1.047,0,0,0.272,0.023,-0.157
4.34,-1.047,0,0,0.272,0.02,-0.157
4.35,-1.047,0,0,0.272,0.017,-0.157
4.36,-1.047,0,0,0.272,0.014,-0.157
4.37,-1.047,0,0,0.272,0.01,-0.157
4.38,-1.047,0,0,0.272,0.007,-0.157
4.39,-1.047,0,0,0.272,0.004,-0.157
4.4,-1.047,0,0,0.272,0,-0.157
4.41,-1.047,0,0,0.272,-0.003,-0.157
4.42,-1.047,0,0,0.272,-0.006,-0.157
4.43,-1.047,0,0,0.272,-0.009,-0.157
4.44,-1.047,0,0,0.271,-0.013,-0.157
4.45,-1.047,0,0,0.271,-0.016,-0.157
4.46,-1.047,0,0,0.271,-0.019,-0.157
4.47,-1.047,0,0,0.271,-0.023,-0.156
4.48,-1.047,0,0,0.27,-0.026,-0.156
4.49,-1.047,0,0,0.27,-0.029,-0.156
4.5,-1.047,0,0,0.27,-0.032,-0.156
4.51,-1.047,0,0,0.269,-0.036,-0.155
4.52,-1.047,0,0,0.269,-0.039,-0.156
4.53,-1.047,0,0,0.268,-0.042,-0.155
4.54,-1.047,0,0,0.268,-0.045,-0.155
4.55,-1.047,0,0,0.267,-0.049,-0.154
4.56,-1.047,0,0,0.267,-0.052,-0.154
4.57,-1.047,0,0,0.266,-0.055,-0.153
4.58,-1.047,0,0,0.266,-0.058,-0.154
4.59,-1.047,0,0,0.265,-0.061,-0.153
4.6,-1.047,0,0,0.264,-0.065,-0.153
4.61,-1.047,0,0,0.264,-0.068,-0.152
4.62,-1.047,0,0,0.263,-0.071,-0.152
4.63,-1.047,0,0,0.262,-0.074,-0.151
4.64,-1.047,0,0,0.261,-0.077,-0.151
4.65,-1.047,0,0,0.261,-0.081,-0.15
4.66,-1.047,0,0,0.26,-0.084,-0.15
4.67,-1.047,0,0,0.259,-0.087,-0.149
4.68,-1.047,0,0,0.258,-0.09,-0.149
4.69,-1.047,0,0,0.257,-0.093,-0.149
4.7,-1.047,0,0,0.256,-0.096,-0.148
4.71,-1.047,0,0,0.255,-0.099,-0.147
4.72,-0.999,0,0,0.234,-0.094,-0.134
4.73,-0.834,0,0,0.191,-0.079,-0.11
4.74,-0.657,0,0,0.149,-0.063,-0.086
4.75,-0.503,0,0,0.113,-0.049,-0.066
4.76,-0.38,0,0,0.085,-0.037,-0.049
4.77,-0.285,0,0,0.064,-0.028,-0.036
4.78,-0.213,0,0,0.048,-0.021,-0.028
4.79,-0.158,0,0,0.035,-0.016,-0.021
4.8,-0.118,0,0,0.026,-0.012,-0.015
4.81,-0.088,0,0,0.02,-0.009,-0.011
4.82,-0.065,0,0,0.015,-0.006,-0.009
4.83,-0.048,0,0,0.011,-0.005,-0.006
4.84,-0.036,0,0,0.008,-0.003,-0.005
4.85,-0.027,0,0,0.006,-0.003,-0.004
4.86,-0.02,0,0,0.004,-0.002,-0.003
4.87,-0.015,0,0,0.003,-0.001,-0.002
4.88,-0.011,0,0,0.002,-0.001,-0.002
4.89,-0.008,0,0,0.002,-0.001,-0.001
4.9,-0.006,0,0,0.001,0,-0.001
4.91,-0.004,0,0,0.001,0,-0.001
4.92,-0.003,0,0,0.001,0,-0.001
4.93,-0.002,0,0,0.001,0,-0.001
4.94,-0.002,0,0,0,0,0
4.95,-0.001,0,0,0,0,0
4.96,-0.001,0,0,0,0,0
4.97,-0.001,0,0,0,0,0
4.98,-0.001,0,0,0,0,0
4.99,0,0,0,0,0,0
5,0,0,0,0,0,0
5.01,0,0,0,0,0,0
5.02,0.523,0,0,-0.156,0.07,0.09
5.03,0.916,0,0,-0.228,0.099,0.133
5.04,1.014,0,0,-0.247,0.104,0.145
5.05,1.039,0,0,-0.252,0.103,0.146
5.06,1.045,0,0,-0.255,0.1,0.148
5.07,1.047,0,0,-0.256,0.098,0.148
5.08,1.047,0,0,-0.257,0.094,0.148
5.09,1.047,0,0,-0.258,0.091,0.149
5.1,1.047,0,0,-0.259,0.088,0.149
5.11,1.047,0,0,-0.26,0.085,0.15
5.12,1.047,0,0,-0.26,0.082,0.15
5.13,1.047,0,0,-0.261,0.079,0.151
5.14,1.047,0,0,-0.262,0.076,0.151
5.15,1.047,0,0,-0.263,0.072,0.152
5.16,1.047,0,0,-0.263,0.069,0.152
5.17,1.047,0,0,-0.264,0.066,0.153
5.18,1.047,0,0,-0.265,0.063,0.153
5.19,1.047,0,0,-0.265,0.06,0.153
