Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1,0,0,0,0,0,0
1.01,0.524,0,0,0,0.122,-0.066
1.02,0.916,0,0,0,0.259,-0.098
1.03,1.014,0,0,0,0.308,-0.109
1.04,1.039,0,0,0,0.312,-0.114
1.05,1.045,0,0,0,0.312,-0.117
1.06,1.047,0,0,0,0.311,-0.121
1.07,1.047,0,0,0,0.309,-0.124
1.08,1.047,0,0,0,0.308,-0.127
1.09,1.047,0,0,0,0.307,-0.13
1.1,1.047,0,0,0,0.305,-0.133
1.11,1.047,0,0,0,0.304,-0.136
1.12,1.047,0,0,0,0.303,-0.139
1.13,1.047,0,0,0,0.301,-0.142
1.14,1.047,0,0,0,0.3,-0.145
1.15,1.047,0,0,0,0.298,-0.147
1.16,1.047,0,0,0,0.297,-0.15
1.17,1.047,0,0,0,0.295,-0.153
1.18,1.047,0,0,0,0.293,-0.156
1.19,1.047,0,0,0,0.292,-0.159
1.2,1.047,0,0,0,0.29,-0.162
1.21,1.047,0,0,0,0.288,-0.165
1.22,1.047,0,0,0,0.287,-0.167
1.23,1.047,0,0,0,0.285,-0.17
1.24,1.047,0,0,0,0.283,-0.173
1.25,1.047,0,0,0,0.281,-0.176
1.26,1.047,0,0,0,0.279,-0.178
1.27,1.047,0,0,0,0.277,-0.181
1.28,1.047,0,0,0,0.276,-0.184
1.29,1.047,0,0,0,0.274,-0.186
1.3,1.047,0,0,0,0.272,-0.189
1.31,1.047,0,0,0,0.27,-0.192
1.32,1.047,0,0,0,0.268,-0.194
1.33,1.047,0,0,0,0.266,-0.197
1.34,1.047,0,0,0,0.264,-0.199
1.35,1.047,0,0,0,0.258,-0.199
1.36,0.947,0,0,0,0.224,-0.177
1.37,0.773,0,0,0,0.179,-0.144
1.38,0.602,0,0,0,0.138,-0.112
1.39,0.459,0,0,0,0.105,-0.086
1.4,0.345,0,0,0,0.078,-0.065
1.41,0.258,0,0,0,0.058,-0.048
1.42,0.193,0,0,0,0.043,-0.036
1.43,0.143,0,0,0,0.032,-0.027
1.44,0.107,0,0,0,0.024,-0.02
1.45,0.079,0,0,0,0.018,-0.015
1.46,0.059,0,0,0,0.013,-0.011
1.47,0.044,0,0,0,0.01,-0.008
1.48,0.032,0,0,0,0.007,-0.006
1.49,0.024,0,0,0,0.005,-0.005
1.5,0.018,0,0,0,0.004,-0.004
1.51,-0.347,0,0,0,-0.096,0.082
1.52,-0.759,0,0,0,-0.202,0.167
1.53,-0.975,0,0,0,-0.243,0.197
1.54,-1.029,0,0,0,-0.255,0.202
1.55,-1.043,0,0,0,-0.26,0.202
