Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X,Body Vel Y,Body Vel Z
1.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000
1.010, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000
1.020, -0.000, -0.000, 0.000, -0.000, 0.000, -0.000, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, 0.000, 0.000, -0.000
1.030, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.040, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.001, -0.000, 0.000, -0.000
1.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.060, -0.001, -0.000, 0.001, -0.001, 0.001, -0.001, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, 0.000, 0.000, -0.000
1.070, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.080, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.001, -0.000, 0.000, -0.000
1.090, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.100, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, 0.000, -0.000, -0.000
1.110, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000, -0.000
1.120, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, -0.000, -0.000, -0.000
1.130, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.140, -0.000, -0.000, -0.000, -0.000, 0.000, -0.000, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, 0.000, -0.000, -0.000
1.150, 0.001, 0.000, -0.000, 0.001, -0.000, 0.001, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000
1.160, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.170, -0.001, -0.001, 0.001, -0.001, 0.000, -0.000, -0.001, -0.000, 0.001, -0.001, 0.000, -0.000, 0.000, 0.000, -0.000
1.180, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000, -0.000
1.190, 0.001, 0.001, -0.000, 0.001, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, -0.000, -0.000, -0.000
1.200, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.210, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, 0.000, -0.000, -0.000
1.220, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000, -0.000
1.230, 0.001, 0.001, -0.000, 0.001, -0.000, 0.001, 0.001, 0.001, -0.000, 0.001, -0.000, 0.000, -0.000, -0.000, -0.000
1.240, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.250, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, 0.000, -0.000, -0.000
1.260, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.270, 0.001, 0.001, -0.000, 0.001, -0.000, 0.000, 0.001, 0.001, -0.000, 0.001, -0.000, 0.000, -0.000, 0.000, -0.000
1.280, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.290, -0.001, -0.000, 0.000, -0.001, 0.001, -0.000, -0.001, -0.000, 0.001, -0.001, 0.001, -0.000, 0.000, -0.000, -0.000
1.300, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.310, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, -0.000, 0.000, -0.000
1.320, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.330, -0.000, 0.000, 0.000, -0.000, 0.000, -0.000, 0.001, -0.000, -0.000, 0.001, -0.000, 0.001, -0.000, 0.000, -0.000
1.340, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, -0.000, 0.000, -0.000
1.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.360, -0.001, -0.001, 0.000, -0.001, 0.000, -0.000, -0.001, -0.001, 0.001, -0.001, 0.000, -0.000, 0.000, 0.000, -0.000
1.370, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.380, 0.001, 0.001, -0.001, 0.001, -0.000, 0.001, 0.001, 0.001, -0.000, 0.001, -0.000, 0.000, -0.000, 0.000, -0.000
1.390, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.400, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, -0.000, -0.000, 0.000, -0.000, 0.000, -0.000, 0.000, 0.000, -0.000
1.410, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, -0.000, 0.000, -0.000
1.420, -0.000, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -0.000
1.430, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, 0.000, 0.000, -0.000
1.440, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, -0.000, 0.000, -0.000
1.450, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000, 0.000, -0.000
1.460, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, 0.000, 0.000, -0.000
1.470, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, -0.001, -0.000, 0.000, -0.001, 0.000, -0.000, 0.000, 0.000, -0.000
1.480, 0.001, 0.000, -0.000, 0.001, -0.000, 0.000, 0.000, 0.000, -0.000, 0.001, -0.000, 0.000, -0.000, 0.000, -0.000
