Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1.000, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
1.010, -0.307, -0.000, 0.000, 0.000, -0.151, 0.049
1.020, -0.862, -0.000, 0.000, 0.000, -0.277, 0.088
1.030, -1.001, -0.000, 0.000, -0.000, -0.308, 0.095
1.040, -1.036, -0.000, 0.000, -0.000, -0.317, 0.095
1.050, -1.044, -0.000, 0.000, 0.000, -0.320, 0.092
1.060, -1.046, -0.000, 0.000, -0.000, -0.321, 0.089
1.070, -1.047, -0.000, 0.000, -0.000, -0.323, 0.086
1.080, -1.047, 0.000, 0.000, -0.000, -0.323, 0.083
1.090, -1.047, -0.000, 0.000, -0.000, -0.324, 0.080
1.100, -1.047, 0.000, 0.000, 0.000, -0.325, 0.076
1.110, -1.047, 0.000, 0.000, 0.000, -0.326, 0.073
1.120, -1.047, -0.000, 0.000, 0.000, -0.327, 0.070
1.130, -1.047, -0.000, 0.000, -0.000, -0.327, 0.067
1.140, -1.047, -0.000, 0.000, -0.000, -0.328, 0.064
1.150, -1.047, -0.000, 0.000, -0.000, -0.329, 0.060
1.160, -1.047, -0.000, 0.000, -0.000, -0.329, 0.057
1.170, -1.047, -0.000, 0.000, -0.000, -0.330, 0.054
1.180, -1.047, -0.000, 0.000, -0.000, -0.330, 0.051
1.190, -1.047, -0.000, -0.000, -0.000, -0.331, 0.047
1.200, -1.047, -0.000, 0.000, -0.000, -0.331, 0.044
1.210, -1.047, -0.000, 0.000, -0.000, -0.332, 0.041
1.220, -1.047, -0.000, 0.000, -0.000, -0.332, 0.038
1.230, -1.047, 0.000, 0.000, -0.000, -0.333, 0.034
1.240, -1.047, 0.000, -0.000, -0.000, -0.333, 0.031
1.250, -1.047, -0.000, -0.000, -0.000, -0.333, 0.028
1.260, -1.047, -0.000, 0.000, -0.000, -0.334, 0.025
1.270, -1.047, -0.000, -0.000, -0.000, -0.334, 0.021
1.280, -1.047, 0.000, -0.000, -0.000, -0.334, 0.018
