Time (s),JointVel_1_R1,JointVel_2_R1,JointVel_3_R1,JointVel_1_R2,JointVel_2_R2,JointVel_3_R2,JointVel_1_L1,JointVel_2_L1,JointVel_3_L1,JointVel_1_L2,JointVel_2_L2,JointVel_3_L2,Body Vel X,Body Vel Y,Body Vel Z
1.000, -0.197, -0.042, 0.084, -0.193, 0.065, -0.105, -0.046, -0.089, 0.012, -0.050, 0.011, 0.025, 0.044, -0.000, 0.004
1.010, -0.560, -0.127, 0.239, -0.547, 0.163, -0.288, -0.127, -0.231, 0.025, -0.138, 0.039, 0.073, 0.093, -0.001, 0.008
1.020, -0.780, -0.201, 0.345, -0.765, 0.155, -0.355, -0.173, -0.246, -0.015, -0.187, 0.081, 0.100, 0.125, -0.001, 0.011
1.030, -0.900, -0.219, 0.387, -0.887, 0.124, -0.370, -0.194, -0.226, -0.056, -0.210, 0.085, 0.139, 0.146, -0.001, 0.013
1.040, -0.956, -0.188, 0.379, -0.949, 0.102, -0.366, -0.206, -0.205, -0.084, -0.220, 0.051, 0.190, 0.159, -0.003, 0.014
1.050, -0.973, -0.153, 0.354, -0.972, 0.066, -0.340, -0.213, -0.166, -0.113, -0.226, 0.018, 0.231, 0.168, -0.004, 0.014
1.060, -0.965, -0.121, 0.323, -0.971, 0.022, -0.299, -0.220, -0.116, -0.142, -0.232, -0.008, 0.261, 0.174, -0.005, 0.013
1.070, -0.942, -0.083, 0.282, -0.955, -0.016, -0.258, -0.228, -0.071, -0.163, -0.237, -0.038, 0.288, 0.178, -0.006, 0.013
1.080, -0.911, -0.044, 0.239, -0.929, -0.047, -0.219, -0.235, -0.031, -0.177, -0.242, -0.067, 0.310, 0.180, -0.007, 0.012
1.090, -0.875, -0.010, 0.197, -0.897, -0.078, -0.179, -0.242, 0.008, -0.188, -0.247, -0.091, 0.326, 0.180, -0.008, 0.011
1.100, -0.836, 0.019, 0.157, -0.863, -0.104, -0.142, -0.249, 0.043, -0.196, -0.252, -0.110, 0.336, 0.180, -0.009, 0.010
1.110, -0.797, 0.046, 0.120, -0.826, -0.125, -0.109, -0.254, 0.072, -0.201, -0.256, -0.127, 0.344, 0.178, -0.010, 0.008
1.120, -0.757, 0.070, 0.085, -0.789, -0.143, -0.079, -0.259, 0.098, -0.202, -0.259, -0.141, 0.348, 0.176, -0.011, 0.007
1.130, -0.718, 0.090, 0.054, -0.751, -0.158, -0.053, -0.263, 0.121, -0.203, -0.261, -0.152, 0.350, 0.173, -0.012, 0.006
1.140, -0.680, 0.107, 0.027, -0.714, -0.169, -0.029, -0.265, 0.140, -0.201, -0.262, -0.159, 0.348, 0.170, -0.012, 0.004
