Time (s),Joint Vel 1,Joint Vel 2,Joint Vel 3,Body Vel X,Body Vel Y,Body Vel Z
1.000, 0.000, 0.000, 0.000, -0.000, 0.000, -0.000
1.010, 0.524, -0.000, 0.000, -0.000, 0.122, -0.066
1.020, 0.916, -0.000, 0.000, -0.000, 0.259, -0.098
1.030, 1.014, -0.000, 0.000, -0.000, 0.308, -0.109
1.040, 1.039, -0.000, 0.000, 0.000, 0.312, -0.114
1.050, 1.045, -0.000, 0.000, 0.000, 0.312, -0.117
1.060, 1.047, -0.000, 0.000, 0.000, 0.311, -0.121
1.070, 1.047, -0.000, 0.000, 0.000, 0.309, -0.124
1.080, 1.047, -0.000, 0.000, 0.000, 0.308, -0.127
1.090, 1.047, -0.000, 0.000, 0.000, 0.307, -0.130
1.100, 1.047, 0.000, 0.000, 0.000, 0.305, -0.133
1.110, 1.047, -0.000, 0.000, -0.000, 0.304, -0.136
1.120, 1.047, -0.000, 0.000, -0.000, 0.303, -0.139
1.130, 1.047, -0.000, 0.000, 0.000, 0.301, -0.142
1.140, 1.047, -0.000, 0.000, 0.000, 0.300, -0.145
1.150, 1.047, -0.000, 0.000, 0.000, 0.298, -0.147
1.160, 1.047, -0.000, 0.000, 0.000, 0.297, -0.150
1.170, 1.047, 0.000, 0.000, 0.000, 0.295, -0.153
1.180, 1.047, -0.000, 0.000, 0.000, 0.293, -0.156
1.190, 1.047, -0.000, 0.000, 0.000, 0.292, -0.159
1.200, 1.047, 0.000, -0.000, 0.000, 0.290, -0.162
1.210, 1.047, 0.000, -0.000, 0.000, 0.288, -0.165
1.220, 1.047, -0.000, 0.000, 0.000, 0.287, -0.167
1.230, 1.047, -0.000, 0.000, -0.000, 0.285, -0.170
1.240, 1.047, 0.000, 0.000, -0.000, 0.283, -0.173
1.250, 1.047, 0.000, 0.000, -0.000, 0.281, -0.176
1.260, 1.047, 0.000, -0.000, 0.000, 0.279, -0.178
1.270, 1.047, 0.000, 0.000, 0.000, 0.277, -0.181
1.280, 1.047, -0.000, 0.000, 0.000, 0.276, -0.184
1.290, 1.047, 0.000, -0.000, 0.000, 0.274, -0.186
1.300, 1.047, -0.000, -0.000, -0.000, 0.272, -0.189
1.310, 1.047, -0.000, 0.000, -0.000, 0.270, -0.192
1.320, 1.047, -0.000, 0.000, 0.000, 0.268, -0.194
1.330, 1.047, 0.000, 0.000, 0.000, 0.266, -0.197
1.340, 1.047, -0.000, -0.000, 0.000, 0.264, -0.199
1.350, 1.047, -0.000, -0.000, 0.000, 0.258, -0.199
1.360, 0.947, 0.000, -0.000, 0.000, 0.224, -0.177
1.370, 0.773, 0.000, -0.000, 0.000, 0.179, -0.144
1.380, 0.602, -0.000, -0.000, 0.000, 0.138, -0.112
1.390, 0.459, 0.000, -0.000, 0.000, 0.105, -0.086
1.400, 0.345, -0.000, 0.000, 0.000, 0.078, -0.065
1.410, 0.258, -0.000, -0.000, 0.000, 0.058, -0.048
1.420, 0.193, -0.000, 0.000, 0.000, 0.043, -0.036
1.430, 0.143, -0.000, -0.000, 0.000, 0.032, -0.027
1.440, 0.107, 0.000, -0.000, 0.000, 0.024, -0.020
1.450, 0.079, 0.000, 0.000, 0.000, 0.018, -0.015
1.460, 0.059, 0.000, 0.000, 0.000, 0.013, -0.011
1.470, 0.044, -0.000, 0.000, 0.000, 0.010, -0.008
1.480, 0.032, 0.000, -0.000, 0.000, 0.007, -0.006
1.490, 0.024, 0.000, -0.000, 0.000, 0.005, -0.005
1.500, 0.018, 0.000, 0.000, 0.000, 0.004, -0.004
1.510, -0.347, 0.000, -0.000, 0.000, -0.096, 0.082
1.520, -0.759, 0.000, -0.000, -0.000, -0.202, 0.167
1.530, -0.975, 0.000, -0.000, 0.000, -0.243, 0.197
1.540, -1.029, 0.000, -0.000, 0.000, -0.255, 0.202
1.550, -1.043, 0.000, -0.000, 0.000, -0.260, 0.202
1.560, -1.046, 0.000, 0.000, 0.000, -0.262, 0.200
1.570, -1.047, -0.000, 0.000, 0.000, -0.265, 0.197
1.580, -1.047, -0.000, -0.000, 0.000, -0.267, 0.195
1.590, -1.047, -0.000, 0.000, 0.000, -0.269, 0.192
1.600, -1.047, -0.000, 0.000, 0.000, -0.271, 0.189
1.610, -1.047, -0.000, 0.000, 0.000, -0.273, 0.187
1.620, -1.047, -0.000, -0.000, 0.000, -0.275, 0.184
1.630, -1.047, -0.000, -0.000, 0.000, -0.277, 0.181
1.640, -1.047, 0.000, -0.000, 0.000, -0.279, 0.179
1.650, -1.047, -0.000, 0.000, 0.000, -0.280, 0.176
1.660, -1.047, 0.000, -0.000, 0.000, -0.282, 0.173
1.670, -1.047, 0.000, -0.000, -0.000, -0.284, 0.171
1.680, -1.047, 0.000, 0.000, -0.000, -0.286, 0.168
1.690, -1.047, 0.000, -0.000, 0.000, -0.288, 0.165
1.700, -1.047, -0.000, 0.000, 0.000, -0.289, 0.162
1.710, -1.047, 0.000, -0.000, 0.000, -0.291, 0.159
1.720, -1.047, -0.000, 0.000, 0.000, -0.293, 0.157
1.730, -1.047, -0.000, -0.000, 0.000, -0.294, 0.154
1.740, -1.047, 0.000, -0.000, 0.000, -0.296, 0.151
1.750, -1.047, 0.000, 0.000, -0.000, -0.297, 0.148
1.760, -1.047, 0.000, 0.000, -0.000, -0.299, 0.145
1.770, -1.047, -0.000, 0.000, -0.000, -0.300, 0.142
1.780, -1.047, 0.000, -0.000, -0.000, -0.302, 0.139
1.790, -1.047, 0.000, 0.000, 0.000, -0.303, 0.136
1.800, -1.047, 0.000, 0.000, 0.000, -0.305, 0.133
1.810, -1.047, 0.000, -0.000, 0.000, -0.306, 0.130
1.820, -1.047, -0.000, -0.000, 0.000, -0.307, 0.127
1.830, -1.047, 0.000, -0.000, 0.000, -0.309, 0.124
1.840, -1.047, 0.000, 0.000, 0.000, -0.310, 0.121
1.850, -1.047, -0.000, 0.000, 0.000, -0.311, 0.118
1.860, -0.996, 0.000, 0.000, -0.000, -0.286, 0.105
1.870, -0.830, -0.000, -0.000, 0.000, -0.235, 0.084
1.880, -0.653, -0.000, -0.000, 0.000, -0.184, 0.065
1.890, -0.500, -0.000, 0.000, 0.000, -0.141, 0.049
1.900, -0.377, -0.000, -0.000, 0.000, -0.106, 0.036
1.910, -0.283, 0.000, -0.000, 0.000, -0.079, 0.027
1.920, -0.211, 0.000, 0.000, -0.000, -0.059, 0.020
1.930, -0.157, 0.000, 0.000, 0.000, -0.044, 0.015
1.940, -0.117, 0.000, -0.000, 0.000, -0.033, 0.011
1.950, -0.087, 0.000, 0.000, 0.000, -0.024, 0.008
1.960, -0.065, 0.000, 0.000, 0.000, -0.018, 0.006
1.970, -0.048, -0.000, -0.000, 0.000, -0.013, 0.004
1.980, -0.036, 0.000, 0.000, 0.000, -0.010, 0.003
1.990, -0.026, 0.000, 0.000, 0.000, -0.007, 0.002
2.000, -0.020, -0.000, 0.000, 0.000, -0.005, 0.002
2.010, -0.015, -0.000, 0.000, 0.000, -0.004, 0.001
2.020, -0.011, 0.000, 0.000, 0.000, -0.003, 0.001
2.030, -0.008, -0.000, 0.000, 0.000, -0.002, 0.001
2.040, -0.006, 0.000, -0.000, -0.000, -0.002, 0.000
2.050, -0.004, 0.000, 0.000, -0.000, -0.001, 0.000
2.060, -0.003, 0.000, 0.000, 0.000, -0.001, 0.000
2.070, -0.002, 0.000, 0.000, -0.000, -0.001, 0.000
2.080, -0.002, -0.000, 0.000, 0.000, -0.000, 0.000
2.090, -0.001, 0.000, 0.000, 0.000, -0.000, -0.000
2.100, -0.001, -0.000, 0.000, 0.000, -0.000, -0.000
2.110, -0.001, 0.000, 0.000, -0.000, -0.000, -0.000
2.120, -0.001, -0.000, 0.000, -0.000, -0.000, -0.000
2.130, -0.000, -0.000, 0.000, -0.000, -0.000, -0.000
2.140, -0.000, 0.000, -0.000, -0.000, -0.000, -0.000
2.150, -0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.160, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.170, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.180, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.190, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.200, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.210, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.220, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.230, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.240, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.250, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.260, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.270, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.280, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.290, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.300, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.310, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.320, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.330, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.340, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.350, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.360, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.370, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.380, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.390, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.400, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.410, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.420, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.430, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.440, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.450, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.460, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.470, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.480, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.490, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.500, 0.000, 0.000, 0.000, 0.000, -0.000, -0.000
2.510, 0.524, 0.000, 0.000, 0.000, 0.122, -0.066
2.520, 0.916, -0.000, -0.000, 0.000, 0.260, -0.098
2.530, 1.014, -0.000, 0.000, 0.000, 0.308, -0.109
2.540, 1.039, -0.000, -0.000, 0.000, 0.312, -0.114
2.550, 1.045, 0.000, -0.000, 0.000, 0.311, -0.117
2.560, 1.047, 0.000, 0.000, 0.000, 0.310, -0.121
2.570, 1.047, 0.000, -0.000, 0.000, 0.309, -0.124
2.580, 1.047, 0.000, -0.000, -0.000, 0.308, -0.127
2.590, 1.047, 0.000, -0.000, -0.000, 0.307, -0.130
2.600, 1.047, -0.000, 0.000, -0.000, 0.305, -0.133
2.610, 1.047, -0.000, -0.000, -0.000, 0.304, -0.136
2.620, 1.047, 0.000, -0.000, -0.000, 0.302, -0.139
2.630, 1.047, 0.000, 0.000, -0.000, 0.301, -0.142
2.640, 1.047, -0.000, 0.000, 0.000, 0.299, -0.144
2.650, 1.047, -0.000, -0.000, -0.000, 0.298, -0.147
2.660, 1.047, 0.000, -0.000, -0.000, 0.296, -0.150
